english,translate
Ash Legion Listening Devices Planted,Установленные прослушивающие устройства Пепельного легиона
Champion Enchanted Transfiguration,Зачарованная трансфигурация чемпиона
Champion Regulator Warden I,Чемпион-регулятор Страж I
Champion Regulator Warden II,Чемпион-регулятор Страж II
Champion Regulator Warden III,Чемпион-регулятор Страж III
Champion Regulator Warden IV,Чемпион-регулятор Страж IV
Champion Unstable Abomination,Чемпион: Нестабильная мерзость
Elite Aetherblade Vanguard,Элитный авангард Aetherblade
Elite Canthan Spirit Swordsman,Элитный кантанский дух-мечник
Elite Enchanted Sword,Элитный зачарованный меч
Elite Icebrood Menace,Элитная угроза ледяных отродий
Elite Ventshot,Элитный вентиляционный выстрел
Forged Officers Eliminated,Офицеры Кованых уничтожены
Ghostly Wraith,Призрачный дух
Inquest Fought,Сражение с Инквестом
Inquest Interrogated,Допрос Инквеста
Inquest Suspicion,Подозрение Инквест
Juvenile Aether Hunter,Юный эфирный охотник
Juvenile Alpine Wolf,Юный альпийский волк
Juvenile Arctodus,Юный арктодус
Juvenile Armor Fish,Юная рыба-броненосец
Juvenile Black Bear,Юный чёрный медведь
Juvenile Black Moa,Юный чёрный моа
Juvenile Blue Moa,Юный синий моа
Juvenile Boar,Юный кабан
Juvenile Bristleback,Юный щетинозад
Juvenile Brown Bear,Юный бурый медведь
Juvenile Cave Spider,Юный пещерный паук
Juvenile Cheetah,Юный гепард
Juvenile Eagle,Юный орёл
Juvenile Fanged Iboga,Юная клыкастая ибога
Juvenile Fern Hound,Юная папоротниковая гончая
Juvenile Fire Wyvern,Юная огненная виверна
Juvenile Forest Spider,Юный лесной паук
Juvenile Hawk,Юный ястреб
Juvenile Hyena,Юная гиена
Juvenile Ice Drake,Юный ледяной дрейк
Juvenile Jacaranda,Юная жакаранда
Juvenile Jaguar,Юный ягуар
Juvenile Janthiri Bee,Юная джантирская пчела
Juvenile Jungle Spider,Юный паук джунглей
Juvenile Jungle Stalker,Детеныш лесного сталкера
Juvenile Lynx,Детеныш рыси
Juvenile Marsh Drake,Детеныш болотного дрейка
Juvenile Murellow,Детеныш муреллоу
Juvenile Owl,Детеныш совы
Juvenile Phoenix,Детеныш феникса
Juvenile Pig,Детеныш свиньи
Juvenile Pink Moa,Детеныш розового моа
Juvenile Polar Bear,Детеныш белого медведя
Juvenile Rainbow Jellyfish,Детеныш радужной медузы
Juvenile Raptor Swiftwing,Детеныш раптора-быстрокрыла
Juvenile Raven,Детеныш ворона
Juvenile Red Moa,Детеныш красного моа
Juvenile Reef Drake,Детеныш рифового дрейка
Juvenile River Drake,Детеныш речного дрейка
Juvenile River Otter,Детеныш речной выдры
Juvenile Rock Gazelle,Детеныш скальной газели
Juvenile Sand Lion,Детеныш песчаного льва
Juvenile Shark,Детеныш акулы
Juvenile Siamoth,Детеныш сиамота
Juvenile Siege Turtle,Детеныш осадной черепахи
Juvenile Sky-Chak Striker,Детеныш небесного чака-налетчика
Juvenile Smokescale,Детеныш дымочешуя
Juvenile Snow Leopard,Детеныш снежного барса
Juvenile Spinegazer,Детеныш шипоглаза
Juvenile Tiger,Детеныш тигра
Juvenile Wallow,Детеныш валлоу
Juvenile Warclaw,Детеныш боевого когтя
Juvenile Warthog,Детеныш бородавочника
Juvenile White Moa,Детеныш белого моа
Juvenile White Raven,Детеныш белого ворона
Juvenile White Tiger,Детеныш белого тигра
Juvenile Wolf,Детеныш волка
Legendary Ravenous Wanderer,Легендарный Ravenous Wanderer
Legendary Victory,Легендарная победа
Mordrem Camp Center Area,Центральная зона лагеря Мордрем
Mordrem Camp Entry Area,Входная зона лагеря Мордрем
Nightmare Court Prison,Тюрьма Кошмарного двора
Pact Reinforcements,Подкрепления Пакта
Seraph Army Combat Readiness,Боеготовность армии Серафимов
Spirit Totems Correctly Placed,Тотемы Духа Установлены Правильно
Veteran Forged Assembler,Ветеран Forged Assembler
