english,translate
Recipe: Thackeray's Crescent,Рецепт: полумесяц Тэккерея
Recipe: Thackeray's Crusader,Рецепт: крестоносец Такерея
Recipe: Thackeray's Crusher,Рецепт: дробилка Таккерея
Recipe: Thackeray's Cuirass,Рецепт: кираса Тэкери
Recipe: Thackeray's Doublet,Рецепт: дублет Такерея
Recipe: Thackeray's Epaulets,Рецепт: эполеты Такерея
Recipe: Thackeray's Flame,Рецепт: пламя Теккерея
Recipe: Thackeray's Focus,Рецепт: фокус Тэккерея
Recipe: Thackeray's Footwear,Рецепт: обувь Такерея
Recipe: Thackeray's Gauntlets,Рецепт: рукавицы Теккерея
Recipe: Thackeray's Gavel,Рецепт: молот Тэккери
Recipe: Thackeray's Gladius,Рецепт: гладиус Теккерея
Recipe: Thackeray's Gloves,Рецепт: перчатки Теккерея
Recipe: Thackeray's Greatbow,Рецепт: большой лук Такерея
Recipe: Thackeray's Greaves,Рецепт: наголенники Такерея
Recipe: Thackeray's Handcannon,Рецепт: ручная пушка Теккерая
Recipe: Thackeray's Harpoon Gun,Рецепт: гарпунное ружьё Такерея
Recipe: Thackeray's Leather Breather,Рецепт: кожаная дыхательная маска Такерея
Recipe: Thackeray's Leggings,Рецепт: поножи Такерея
Recipe: Thackeray's Masque,Рецепт: маска Такерея
Recipe: Thackeray's Metal Breather,Рецепт: металлическая дыхательная маска Такерея
Recipe: Thackeray's Pants,Рецепт: штаны Теккерея
Recipe: Thackeray's Pauldrons,Рецепт: наплечники Такерея
Recipe: Thackeray's Pillar,Рецепт: столп Теккерея
Recipe: Thackeray's Rifle,Рецепт: винтовка Таккерая
Recipe: Thackeray's Rod,Рецепт: удочка Тэккери
Recipe: Thackeray's Seraph Inscription,Рецепт: серафимская гравировка Такерея
Recipe: Thackeray's Seraph Insignia,Рецепт: серафимская инсигния Такерея
Recipe: Thackeray's Shoulderguard,Рецепт: наплечный доспех Такерея
Recipe: Thackeray's Skewer,Рецепт: шпажка Тэккери
Recipe: Thackeray's Slicer,Рецепт: резак Теккерея
Recipe: Thackeray's Spire,Рецепт: шпиль Такерея
Recipe: Thackeray's Tassets,Рецепт: набедренники Такерея
Recipe: Thackeray's Vambraces,Рецепт: наручи Теккерея
Recipe: Thackeray's Visage,Рецепт: лик Такерея
Recipe: The Replicator,Рецепт: репликатор
Recipe: The True Name,Рецепт: истинное имя
Recipe: The Twins' Artifact,Рецепт: артефакт Близнецов
Recipe: The Twins' Bastion,Рецепт: бастион Близнецов
Recipe: The Twins' Blade,Рецепт: клинок Близнецов
Recipe: The Twins' Brazier,Рецепт: жаровня Близнецов
Recipe: The Twins' Breastplate,Рецепт: нагрудник Близнецов
Recipe: The Twins' Breeches,Рецепт: штаны Близнецов
Recipe: The Twins' Claymore,Рецепт: клеймор Близнецов
Recipe: The Twins' Doublet,Рецепт: дублет Близнецов
Recipe: The Twins' Epaulets,Рецепт: эполеты Близнецов
Recipe: The Twins' Flanged Mace,Рецепт: фланцевая булава Близнецов
Recipe: The Twins' Footwear,Рецепт: обувь Близнецов
Recipe: The Twins' Greatbow,Рецепт: большой лук Близнецов
Recipe: The Twins' Greaves,Рецепт: наголенники Близнецов
Recipe: The Twins' Grieving Inscription,Рецепт: скорбящая гравировка Близнецов
Recipe: The Twins' Grieving Insignia,Рецепт: скорбящая инсигния Близнецов
Recipe: The Twins' Grips,Рецепт: хваты Близнецов
Recipe: The Twins' Guise,Рецепт: личина Близнецов
Recipe: The Twins' Harpoon Gun,Рецепт: гарпунное ружьё Близнецов
Recipe: The Twins' Herald,Рецепт: глашатай Близнецов
Recipe: The Twins' Impaler,Рецепт: пронзатель Близнецов
Recipe: The Twins' Leggings,Рецепт: поножи Близнецов
Recipe: The Twins' Masque,Рецепт: маска Близнецов
Recipe: The Twins' Musket,Рецепт: мушкет Близнецов
Recipe: The Twins' Pauldrons,Рецепт: наплечники Близнецов
Recipe: The Twins' Razor,Рецепт: бритва Близнецов
Recipe: The Twins' Reaver,Рецепт: жнец Близнецов
Recipe: The Twins' Revolver,Рецепт: револьвер Близнецов
Recipe: The Twins' Short Bow,Рецепт: короткий лук Близнецов
Recipe: The Twins' Shoulderguard,Рецепт: наплечный доспех Близнецов
Recipe: The Twins' Spire,Рецепт: шпиль Близнецов
Recipe: The Twins' Striders,Рецепт: походные сапоги Близнецов
Recipe: The Twins' Tassets,Рецепт: набедренники Близнецов
Recipe: The Twins' Trident,Рецепт: трезубец Близнецов
Recipe: The Twins' Visage,Рецепт: лик Близнецов
Recipe: The Twins' Visor,Рецепт: забрало Близнецов
Recipe: The Twins' Wand,Рецепт: жезл Близнецов
Recipe: The Twins' Warfists,Рецепт: боевые рукавицы Близнецов
Recipe: The Twins' Warhammer,Рецепт: боевой молот Близнецов
Recipe: The Twins' Wristguards,Рецепт: наручи Близнецов
Recipe: The Zealot's Amulet,Рецепт: амулет фанатика
Recipe: Theodosus's Artifact,Рецепт: артефакт Теодосия
Recipe: Theodosus's Bastion,Рецепт: бастион Теодосия
Recipe: Theodosus's Blade,Рецепт: клинок Теодосия
Recipe: Theodosus's Brazier,Рецепт: жаровня Теодосия
Recipe: Theodosus's Claymore,Рецепт: клеймор Теодосия
Recipe: Theodosus's Cleric Inscription,Рецепт: клирикская гравировка Теодосия
Recipe: Theodosus's Flanged Mace,Рецепт: фланцевая булава Теодосия
Recipe: Theodosus's Greatbow,Рецепт: большой лук Теодосия
Recipe: Theodosus's Harpoon Gun,Рецепт: гарпунное ружьё Теодосия
Recipe: Theodosus's Herald,Рецепт: глашатай Теодосия
Recipe: Theodosus's Impaler,Рецепт: пронзатель Теодосия
Recipe: Theodosus's Musket,Рецепт: мушкет Теодосия
Recipe: Theodosus's Razor,Рецепт: бритва Теодосия
Recipe: Theodosus's Reaver,Рецепт: жнец Теодосия
Recipe: Theodosus's Revolver,Рецепт: револьвер Теодосия
Recipe: Theodosus's Short Bow,Рецепт: короткий лук Теодосия
Recipe: Theodosus's Spire,Рецепт: шпиль Теодосия
Recipe: Theodosus's Trident,Рецепт: трезубец Теодосия
Recipe: Theodosus's Wand,Рецепт: жезл Теодосия
Recipe: Theodosus's Warhammer,Рецепт: боевой молот Теодосия
Recipe: Tier 1 Core,Рецепт: ядро 1-го уровня
Recipe: Tier 10 Core,Рецепт: ядро 10-го уровня
Recipe: Tier 2 Core,Рецепт: ядро 2-го уровня
Recipe: Tier 3 Core,Рецепт: ядро 3-го уровня
Recipe: Tier 4 Core,Рецепт: ядро 4-го уровня
Recipe: Tier 5 Core,Рецепт: ядро 5-го уровня
Recipe: Tier 6 Core,Рецепт: ядро 6-го уровня
Recipe: Tier 7 Core,Рецепт: ядро 7-го уровня
Recipe: Tier 8 Core,Рецепт: ядро 8-го уровня
Recipe: Tier 9 Core,Рецепт: ядро 9-го уровня
Recipe: Tin of Fruitcake,Рецепт: жестянки с кексом
Recipe: Titanplate Heavy Breastplate,Рецепт: тяжёлый нагрудник из титановой пластины
Recipe: Titanplate Heavy Cuisses,Рецепт: тяжёлый кирас из титановой пластины
Recipe: Titanplate Heavy Gauntlets,Рецепт: титановые пластинчатые тяжёлые перчатки
Recipe: Titanplate Heavy Greaves,Рецепт: тяжёлые наголенники из титановой пластины
Recipe: Titanplate Heavy Helmet,Рецепт: тяжёлый шлем из титановой пластины
Recipe: Titanplate Heavy Pauldrons,Рецепт: титановые тяжёлые наплечники
Recipe: Titanplate Light Cowl,Рецепт: титановый лёгкий капюшон
Recipe: Titanplate Light Gloves,Рецепт: лёгкие перчатки из титановой пластины
Recipe: Titanplate Light Mantle,Рецепт: титанопластинчатая лёгкая накидка
Recipe: Titanplate Light Pants,Рецепт: титанопластинчатая лёгкие штаны
Recipe: Titanplate Light Regalia,Рецепт: лёгкое облачение из титановой пластины
Recipe: Titanplate Light Shoes,Рецепт: лёгкие башмаки из титановой пластины
Recipe: Titanplate Medium Boots,Рецепт: титановые средние ботинки
Recipe: Titanplate Medium Gloves,Рецепт: средние перчатки из титановой пластины
Recipe: Titanplate Medium Jacket,Рецепт: средняя куртка из титановой пластины
Recipe: Titanplate Medium Leggings,Рецепт: титановые средние поножи
Recipe: Titanplate Medium Mask,Рецепт: титанопластинчатая средняя маска
Recipe: Titanplate Medium Shoulders,Рецепт: титановые средние наплечники
Recipe: Tixx's Artifact,Рецепт: артефакт Тикса
Recipe: Tixx's Bastion,Рецепт: бастион Тикса
Recipe: Tixx's Blade,Рецепт: клинок Тикса
Recipe: Tixx's Brazier,Рецепт: жаровня Тикса
Recipe: Tixx's Breastplate,Рецепт: нагрудник Тикса
Recipe: Tixx's Breeches,Рецепт: штаны Тикса
Recipe: Tixx's Claymore,Рецепт: клеймор Тикса
Recipe: Tixx's Doublet,Рецепт: дублет Тикса
Recipe: Tixx's Epaulets,Рецепт: эполеты Тикса
Recipe: Tixx's Flanged Mace,Рецепт: фланцевая булава Тикса
Recipe: Tixx's Footwear,Рецепт: обувь Тикса
Recipe: Tixx's Giver's Inscription,Рецепт: гравировка дарителя Тикса
Recipe: Tixx's Giver's Insignia,Рецепт: инсигния дарителя Тикса
Recipe: Tixx's Greatbow,Рецепт: большой лук Тикса
Recipe: Tixx's Greaves,Рецепт: наголенники Тикса
Recipe: Tixx's Grips,Рецепт: хваты Тикса
Recipe: Tixx's Guise,Рецепт: личина Тикса
Recipe: Tixx's Harpoon Gun,Рецепт: гарпунное ружьё Тикса
Recipe: Tixx's Herald,Рецепт: глашатай Тикса
Recipe: Tixx's Impaler,Рецепт: пронзатель Тикса
Recipe: Tixx's Leggings,Рецепт: поножи Тикса
Recipe: Tixx's Masque,Рецепт: маска Тикса
Recipe: Tixx's Musket,Рецепт: мушкет Тикса
Recipe: Tixx's Pauldrons,Рецепт: наплечники Тикса
Recipe: Tixx's Razor,Рецепт: бритва Тикса
Recipe: Tixx's Reaver,Рецепт: жнец Тикса
Recipe: Tixx's Revolver,Рецепт: револьвер Тикса
Recipe: Tixx's Short Bow,Рецепт: короткий лук Тикса
Recipe: Tixx's Shoulderguard,Рецепт: наплечный доспех Тикса
Recipe: Tixx's Spire,Рецепт: шпиль Тикса
Recipe: Tixx's Striders,Рецепт: походные сапоги Тикса
Recipe: Tixx's Tassets,Рецепт: набедренники Тикса
Recipe: Tixx's Trident,Рецепт: трезубец Тикса
Recipe: Tixx's Visage,Рецепт: лик Тикса
Recipe: Tixx's Visor,Рецепт: забрало Тикса
Recipe: Tixx's Wand,Рецепт: жезл Тикса
Recipe: Tixx's Warfists,Рецепт: боевые рукавицы Тикса
Recipe: Tixx's Warhammer,Рецепт: боевой молот Тикса
Recipe: Tixx's Wristguards,Рецепт: наручи Тикса
Recipe: Tizlak's Artifact,Рецепт: артефакт Тизлака
Recipe: Tizlak's Bastion,Рецепт: бастион Тизлака
