english,translate
Old-Growth Shield Skin,Облик щита «Старый рост»
Old-Growth Short Bow,Короткий лук из старолесья
Old-Growth Short Bow Skin,Облик короткого лука из старой поросли
Old-Growth Spear,Копьё из старого леса
Old-Growth Spear Skin,Скид копья из старого леса
Old-Growth Staff,Посох из старого дерева
Old-Growth Staff Skin,Облик посоха старой поросли
Old-Growth Sword,Меч из старого леса
Old-Growth Sword Skin,Облик меча из старой поросли
Old-Growth Torch,Факел из старого леса
Old-Growth Torch Skin,Облик факела «Старый лес»
Old-Growth Warhorn,Боевой рог «Старый лес»
Old-Growth Warhorn Skin,Облик боевого рога «Старый лес»
Oldgate Breastplate,Нагрудник Олдгейт
Oldgate Cloth Helm,Тканевый шлем Олдгейт
Oldgate Cloth Leggings,Тканевые поножи Олдгейт
Oldgate Cloth Shoes,Тканевые ботинки Олдгейт
Oldgate Garb,Одеяние Олдгейт
Oldgate Gauntlets,Рукавицы Олдгейт
Oldgate Gloves,Перчатки Олдгейт
Oldgate Heavy Boots,Тяжёлые ботинки Олдгейт
Oldgate Heavy Helm,Тяжёлый шлем Олдгейт
Oldgate Heavy Leggings,Тяжёлые поножи Олдгейт
Oldgate Leather Boots,Кожаные ботинки Олдгейт
Oldgate Leather Coat,Кожаная куртка Старых Врат
Oldgate Leather Gloves,Кожаные перчатки Старых Врат
Oldgate Leather Leggings,Кожаные поножи Старых Врат
Oldgate Leather Mask,Кожаная маска Старых Врат
Oldgate Mantle,Мантия Старых Врат
Oldgate Pauldrons,Наплечники Старых Врат
Oldgate Shoulderpads,Наплечные пластины Старых Врат
Olive Dye,Краска «Оливковый»
Olive Ice,Оливковый лед
Olive Ice Dye,Краска «Оливковый лед»
Olive Oil,Оливковое масло
Olive Oil Dye,Краска «Оливковое масло»
Olive Shade,Оливковая тень
Olive Shade Dye,Краска «Оливковая тень»
Olive Silk,Оливковый шёлк
Olive Silk Dye,Краска «Оливковый шёлковый»
Olive Tint,Оливковый оттенок
Olive Tint Dye,Краска «Оливковый оттенок»
Olive Yew,Оливковый тис
Olive Yew Dye,Краска «Оливковый тис»
Olmakhan Beacon,Маяк олмакханов
Olmakhan Bow of Force,Лук Олмакхана силы
Olmakhan Charm,Олмаханский оберег
Olmakhan Defense Recording,Запись защиты Олмаханов
Olmakhan Latigo Strap,Ремень из латиго Олмахана
Olmakhan Leather,Кожа Олмаханов
