english,translate
Almorra,Альморра
Arda,Арда
Battle of Jahai,Битва за Джахай
Belinda,Белинда
Belinda Jane Delaqua,Белинда Джейн Делаква
Benn,Бенн
Champion Ogotl Priestess,Чемпион: Жрица Оготль
Champion Tamini Mogul,Чемпион: Вождь тамини
Cimmara,Симмара
Cinder,Синдер
Claw of Khan-Ur,Коготь Хан-Ура
Claw of the Khan-Ur,Коготь Хан-Ура
Daggers of Zakiros,Кинжалы Закироса
Delaqua,Делаква
Estelle,Эстель
Fyon,Фьон
Gauntlet of the Khan-Ur,Перчатка Хан-Ура
Gnashblade,Гнашблейд
Hazupl,Хазупл
Hazupl Cuintli,Хазупл Куинтли
Inspector Kiel,Инспектор Кил
Kareh Ossa,Карех Осса
Kiel,Кил
Kunai Ossa,Кунай Осса
Kureh Ossa,Курех Осса
Labris,Лабрис
MinSec File,Файл МиньСек
Miss Delaqua,Мисс Делаква
Ogotl,Оготль
Ogotl Speaker,Оратор Оготль
Ossa,Осса
Pete,Пит
Queen Salma,Королева Сальма
Queen Salma the Good,Королева Сальма Добрая
Romke,Ромке
Ryland,Райланд
Shard of Zintl,Осколок Зинтла
Shards of Zintl,Осколки Зинтла
Smodur,Смодур
Sword of Smodur,Меч Смодура
Tamini,тамини
Tamini moguls,вожди тамини
Wavehawk Pete,Пит Ястреб Волн
Woad,Воад
Xunlai Guard Iseul,Страж Сюньлай Исеул
Xunlai Iseul,Сюньлай Исеул
Zintl,Зинтл
Zott,Зотт
