english,translate
Pact Crusader,Крестоносец Пакта
Priory Historian,Историк Приората
Priory Explorer Cyara,Исследовательница Приората Сиара
Priory Researcher,Исследователь Приората
Priory Historian Elisa,Историк Приората Элиза
Researcher Raekk,Исследователь Раекк
Professor Gahf,Профессор Гаф
Researcher Kaii,Исследователь Каи
Peacemaker Owta,Миротворец Овта
Risen King,Воскресший король
Royal Messenger,Королевский посыльный
Researcher Bramm,Исследователь Брамм
Pact Explorer,Исследователь Пакт
Priory Explorer Leandra,Исследовательница Приората Леандра
Professor Maciver,Профессор Макайвер
Quartermaster Hargrove,Квартирмейстер Харгроув
Raven Shaman's Power Source,Источник Силы Шамана Воронов
Researcher Irkz,Исследователь Иркз
Risen Brute,Восставший громила
Risen Megalodon,Восставший мегалодон
Risen Thrall,Восставший невольник
Sage Salim,Мудрец Салим
Quartermaster Hitchens,Квартирмейстер Хитченс
Raven Gate,Вороньи ворота
Researcher Daniella,Исследовательница Даниэлла
Researcher Eway,Исследователь Eway
Researcher Thale,Исследователь Тале
Risen Commander,Risen commander
Risen Control,Контроль Восставших
Risen Plague Carrier,Восставший носитель чумы
Pact Scout,Разведчик Пакта
Pact Scout Hywel,Разведчик-пакт Хьюэл
Pact Tactician,Тактик Пакт
Peacemaker Iujja,Миротворец Иуджа
Peacemaker Report,Доклад Миротворца
Professor Hamm,Профессор Хэм
Quartermaster Akina,Квартирмейстер Акина
Raven Blessing,Благословение Ворона
Refugee Supply Run,Поставка припасов беженцам
Researcher Hui,Исследователь Хуэй
Researcher Suki,Исследователь Суки
Sand Shade,Песчаная тень
Pact Arcanist,Пакт-арканист
Pact Camp,Лагерь Пакта
Pact Captain,Капитан Пакта
Pact Commander Reconnaissance Log,Журнал разведки командира Договора
Pact Defenders,Защитники Пакта
Pact Demolitionist Strixel,Пактный демиолиционист Стрикс
Pact Dolyak,Дольяк Пакта
Pact Megalaser,Мегалазер Пакта
Pact Morale,Боевой дух Пакта
Pact Territory,Территория Договора
Priest Akeel,Жрец Акель
Priory Camp,Лагерь Приората
Priory Scan Gun,Сканирующее ружьё Приората
Prototype Dredge Weapon,Опытное оружие дреджей
Prototype Turret,Опытная турель
Raven Essence,Эссенция ворона
Refugee Ejint,Беженец-эджинт
Researcher Hrappa,Исследователь Храппа
Researcher Lanni,Исследовательница Ланни
Researcher Orl,Исследователь Orl
Researcher Yasna,Исследовательница Ясна
Risen Archmage,Воскресший архимаг
Risen Drake Broodmother,Матка Risen Drake
Risen Jesters,Восставшие шуты
Risen Putrifier,Восставший гнилостник
Risen Sea Turtle,Восставшая морская черепаха
Risen Spectral Guard,Воскресший призрачный страж
Risen Spectral Juggernaut,Восставший призрачный колосс
Risen Wraith,Восставший призрак
Orrian Fire-eater,Оррианский огнеед
Orrian Fish,Оррская рыба
Orrian Gate,Орианские врата
Orrian Grub Hole,Оррианская личинковая нора
Orrian Guard Turret,Оррианская сторожевая турель
Orrian Gulper,Оррианский гульпер
Orrian History Scrolls,Свитки истории Орра
Orrian Lighthouse,Оррианский маяк
Orrian Mine,Оррианская шахта
Orrian Obelisk,Облиск Орриана
Orrian Oyster,Оррианская устрица
Orrian Pedestal,Оррианский пьедестал
Orrian Power Grid Restored,Энергосеть Орра восстановлена
Orrian Priest,Орианский жрец
Orrian Ruins,Руины Орриана
Orrian Runestone,Рунный камень Орриана
Orrian Sapling,Оррианский саженец
Orrian Sea Turtle,Орианская морская черепаха
Orrian Sentry,Оррианский страж
Orrian Shambler,Орианский шамблер
Orrian Shrine Power Grid,Энергосеть святилища Орра
Orrian Siege Weapon,Осадная машина оррианцев
Orrian Soldier,Солдат Орриана
Orrian Spectral Archer,Орианский призрачный лучник
Orrian Spectral Flamecaster,Орианский призрачный огнемётчик
Orrian Spectral Skirmisher,Орианский призрачный застрельщик
Orrian Strength,Сила Orrian
Orrian Symbol,Оррианский символ
Orrian Thrall,Оррианский невольник
Orrian Tomb,Орианская гробница
Orrian Tower,Орианская башня
Orrian Treasure Chest,Сундук с сокровищами Орриана
Orrian Trendril,Оррианский усик
Orrian Vase,Оррианская ваза
Pact Airship Wreckage,Обломки Дирижабля Пакта
Pact Alive,Живой пакт
Pact Amphibious Cannon,Пактовая амфибийная пушка
Pact Assault Staging,Штурмовая Сцена Пакта
Pact Axe,Топор Пакта
Pact Barricade,Защитный барьер
Pact Bazooka,Базука Договора
Pact Beacon,Маяк Пакта
Pact Blade,Клинок Договора
Pact Bow,Лук Договора
Pact Builder,Создатель союзов
Pact Cannon,Пушка Pact
Pact Caravan Leader,Глава каравана Пакт
Pact Cat Sitter,Няня для кота Договора
Pact Chopper,Вертолёт Пакта
Pact Chopper Wreck,Обломки вертолёта Договора
Pact Corpse,Труп Пакт
Pact Crash Site,Место крушения пакта
Pact Crusader Neil,Пакт-крусадер Нил
Pact Dagger,Кинжал Договора
Pact Defender Undead,"Защитник Пакта, нежить"
Pact Donations Agent Ira,"Агент Ира, принимающая пожертвования для Пакта"
Pact Emergency Waypoint Activated,Экстренная путевая точка Пакта активирована
Pact Explosive,Взрывчатка Договора
Pact Field Crate,Полевой ящик Пакта
Pact Fire Grenade,Огненная граната Договора
