english,translate
You have questions.,
You have recently traveled through an asura gate. You must recover before traveling through another.,
You have shiny for skritt? You give shiny to cute skritt? Hmmm?,
"You have some trouble here in the area, do you?",
"You have temporarily harnessed flame-dragon magic through Aurene's gift, gaining effects based on your Dragon Slayer Mastery.",
You have the whale lassoed.,
You have to help us! I don't want to be Awakened!,
"You have truly mastered the spirit of fire. May Koda's blessing guide you, Flamebearer.",
You have? What sort of remedy?,
You haven't a prayer.,
You haven't lived until you've seen a Coleoptera molt!,
You haven't received a Wyld Hunt?,
You haven't won yet. Hounds! Kill them...slowly.,
"You hear a clicking noise, and the lock mechanism snaps open.",
You heard 'er! Let's get moving!,
You honor Raven by tending to his flock. I will return these eggs to a roost.,
"You just couldn't wait, could you?",
"You just don't get ""patience,"" do you? But since you asked, ten gold says you can't!",
"You keep saying that Xunlai's mechs will ""protect the city during a national emergency,"" but what about the noise?",
"You know Primordus so well, why do you need the asuras' research?",
"You know me, twig? I'm Talon Killpeace. I sell two things: booze and bombs.",
You know the drill: get those cores into the relays. We're counting on you!,
"You know what we have here? A powder keg. A big barrel of gunpowder, looking for a spark. In this small space, we have both Flame Legion and Human Separatists. Both our enemies.",
"You know when it's so cold outside, the wind steals your breath?",
"You know, I don't think you even know who Logan Thackeray is!",
"You know, I've seen sand eels in the sand near here.",
"You know, as I do, that the right thing to do is rarely clean. There are always consequences, and many of them severe.",
"You know, the Dominion of Winds is right up the hill. Would be nice if those overgrown feather dusters pitched in for once.",
"You know, this skritt isn't so bad after all.",
"You know, this town is such an oppressive dump nowadays. Maybe Zuri's right. We should join the rebels.",
"You know, we could liven this place up. Add a few photonic lanterns. Some furniture. Maybe a ficus.",
"You lead, and I'll follow.",
You let me down.,
"You little monsters. If you weren't so cute, you'd all be in a stew. A lentil stew—if we had any lentils!",
"You look like skritt, cub. Jormag did a number on you. You're beat.",
"You look like you're about to head out into those fractals. You should take one of my relics! If you want to learn more about them, seek out Archivist Ikur in the tower.",
You look like you've seen a fight or two.,
"You look tough! Macho person, spar with my troops. Make them better fighters!",
"You made it this far, but I've got dire news! Pact forces are moving into Arah, the City of the Gods. Destiny's Edge has already gone in to board an airship and join the attack on Zhaitan.",
You made quaggan do this!,
You make me sick.,
"You may be an outsider, but you are our ally. Please, look over my wares.",
"You may be familiar with my thaumaturgical graduate thesis: ""Asymmetric Crystalline Refraction of Magical Waves.""",
You may be right. I'd hoped these romantic pools would do half the work.,
You may change your tune when I tell you I've tamed a live drake especially for this lesson.,
"You may not trust me, but, I will not let any more sylvari become like Faolain. Better death for my people than...that.",
You mean it? That's generous of you. I'll remember your face.,
You mentioned armor polishing.,
You mentioned skritt.,
You mentioned you have inventions being used on the surface.,
You mentioned you have medical experience?,
You met someone from the Nightmare Court? And you survived?,
"You might've caught me, but I'm only one of many. You'll never stop us all!",
"You might've seen the Svanir at Talecrafting Steading. Word is, their leader's been corrupted by Jormag. Might be worth investigating.",
You must loathe me.,
You need Koda's Flame to clear this obstacle.,
You need my help for what exactly?,
You need something to light the fuse.,
"You needed black summoning stones, right?",
You never listen.,
You people are brave. Good luck.,
"You people don't know when to quit, do you? Risking life and limb for a bit of treasure—some would call that madness.",
"You people really like the sound of your own voices, don't you?",
You poor thing. Stay on the road. Your feet should stay dry at least.,
"You reach for the lid. Something within the chest clicks, and it erupts in a cloud of foul-smelling gas.",
You ready? Are ya? I am. I am SO ready.,
"You realize these are automated cannons we're recovering, right?",
"You really are a people person, Chief.",
"You really can drop the ""commander"" now, you know, R'tchikk.",
You really helped out back there.,
You really saved us.,
You saved our lives.,
You saved us from a fate worse than death.,
You saved us.,
You saw Kiona over there? Did she...ask about me by any chance?,
"You say that now, but you'll be back.",
You search in vain. The Forgotten and gods are no more!,
You see a list of past Pro League winners.,
You see a lot of trouble here on the lake?,
You see on the desk old notes written by Oola. The temperature regulators of the lab have kept them in a pristine condition.,
You see...,
"You see? Both cunning and murderous, exactly as advertised. So charge those cannons, and then we'll shove an army of chak down Mordremoth's throat!",
You seeing this?,
You seek words with me? What can I do for you?,
You seem busy. I'll leave you be.,
You seem surprisingly hopeful.,
You seem to be an expert on Jora.,
You should be safe from the Risen—for the moment. I believe I've discovered a remedy to their incursion.,
