english,translate
"""You're so lucky. I love my plants here, but a part of me wishes I were destined for greater things. I will probably die here, tending this garden.""","«Тебе так повезло. Я люблю свои растения здесь, но часть меня желает, чтобы мне суждено было нечто большее. Я, вероятно, умру здесь, ухаживая за этим садом»."
"""You're speaking to a genius, remember? Stay close to Mr. Sparkles and you'll be safe.""","«Ты разговариваешь с гением, помнишь? Держись поближе к мистеру Спарклзу, и ты будешь в безопасности»."
"""You're standing in the heart of the Brisban Wildlands, and just your luck, you're in the middle of all things criminal. In the west, you've got Vandal's Claim, which is thick with bandits. Just don't stray too far, and you should be okay. In the east, the Inquest have a fortified lab, and we've heard rumblings about them trying to ally with the bandits. Gods help us if that comes to pass.""","«Вы находитесь в самом сердце Брисбанских диких земель, и вам повезло, вы находитесь в центре всего преступного. На западе у вас есть Заявление Вандала, где полно бандитов. Просто не отходите слишком далеко, и все будет в порядке. На востоке у Следствия есть укрепленная лаборатория, и мы слышали слухи о том, что они пытаются вступить в союз с бандитами. Боги помогут нам, если это произойдёт»."
"""You're supposed to last for decades. If you can't even resist rust, how are you going to keep me safe when...""","«Ты должен прослужить десятилетия. Если ты не можешь противостоять даже ржавчине, как ты собираешься защитить меня, когда…»"
"""You're talking to one of the Ministry of Fishing's officially licensed tournament organizers. Not running one at this moment, but I've got one scheduled for later...""","«Вы разговариваете с одним из официально лицензированных организаторов турниров Министерства рыболовства. На данный момент он не проводится, но у меня запланирован ещё один…»"
"""You're telling me! I thought I saw one to the south, but I wasn't sure, and I wasn't about to go check it out alone.""","«Ты говоришь мне! Мне казалось, что я видел один на юге, но я не был уверен, и я не собирался идти проверять его один»."
"""You're the best! Scruffy's autorepair will have him moving with enough time, but this will greatly expedite it. The probes were in a chamber below the central island. And again, thanks!""","«Ты лучший! Авторемонт Скраффи заставит его двигаться с достаточным количеством времени, но это значительно ускорит процесс. Зонды находились в камере под центральным островом. И ещё раз спасибо!»"
"""You're the bravest of us all. The egg chose well. I don't know when I'll receive my next Wyld Hunt, but...I am glad that we always end up on the same side.""","«Ты самый храбрый из нас. Яйцо выбрало правильно. Я не знаю, когда получу свою следующую Дикую Охоту, но... Я рад, что мы всегда оказываемся на одной стороне»."
"""You're the commander of the Pact, yes? Welcome!""","«Вы командующий Пактом, да? Добро пожаловать!»"
"""You're the fastest, Izem. You can do it!""","«Ты самый быстрый, Изем. Ты сможешь!»"
