english,translate
Chasing Tales: Warrior Poet,По следам легенд: Поэт-воин
Chasing Tales: Will to Power,По следам легенд: Воля к власти
Chasing Tales: Wossaul the Giant,По следам легенд: Wossaul the Giant
Chasing Waterfalls,В погоне за водопадами
Chasing Waterfalls: Lowland Shore,В погоне за водопадами: Lowland Shore
Chasing evil out of the dark places where it hides.,"Изгнание зла из темных мест, где оно скрывается."
Chatted by Fire,Беседа у костра
Check Out These Guns,Оцени эти пушки
Check behind waterfalls in Lowland Shore.,Проверь за водопадами в Lowland Shore.
Check in on a training friend.,Навести друга по тренировкам.
Check in on an old friend in Cantha.,Навести старого друга в Cantha.
Check in with all of your allies after the curse-breaking ritual.,Поговори со всеми союзниками после ритуала снятия проклятия.
Check in with all of your allies following the meeting.,Поговори со всеми союзниками после собрания.
Check in with all of your allies in the aftermath of the battle.,Поговори со всеми союзниками после битвы.
Check in with all your allies after the heated confrontation in Bava Nisos.,Поговори со всеми союзниками после жаркого спора в Bava Nisos.
Check in with all your friends and allies in Arborstone.,Поговори со всеми друзьями и союзниками в Arborstone.
Check in with all your friends and allies in the Wizard's Tower.,Поговори со всеми друзьями и союзниками в Wizard's Tower.
Check in with allies in the Sunspear base.,Поговори с союзниками на базе Sunspear.
Check in with representatives of all allied forces in Dragon's End while placing extractors.,Поговори с представителями всех союзных сил в Dragon's End во время установки экстракторов.
Check in with the Astral Ward members throughout the Wizard's Tower.,Поговори с членами Astral Ward по всей Wizard's Tower.
Check in with your allies before the battle.,Поговори с союзниками перед битвой.
Check in with your friends after taking the Inquest camp.,Проверьте своих друзей после захвата лагеря Инквеста.
Check on some old friends in Cantha and make some new ones.,Навестите старых друзей в Канте и заведите новых.
"Check, First Mate","Есть, Первый помощник"
Cheer 20 times within the arena.,Поболейте 20 раз на арене.
Cheer for Logan after he claims victory in the arena.,Поболейте за Logan после его победы на арене.
Cheer for the departing twisted marionette.,Поприветствуйте уходящую Искаженную марионетку.
Cheer next to Leywright Edifi after powering up his new friends.,"Поболейте рядом с Leywright Edifi после того, как он зарядит своих новых друзей."
Cheerful Ingester,Жизнерадостный поглотитель
Chef,Шеф-повар
Chicken Scramble,Куриная суматоха
Chickenado Chaser,Охотник за Куриным торнадо
Choose the center path.,Выберите центральный путь.
Choose the left path.,Выберите левый путь.
Choose the right path.,Выберите правый путь.
Choose to go with Tizlak to attack the Mordrem Guard at their staging area before they can attack the Itzel village.,"Выберите отправиться с Tizlak, чтобы атаковать Mordrem Guard в их зоне подготовки, прежде чем они нападут на деревню Итцель."
Choose to remain in the Itzel village to defend it against the Mordrem Guard with Ibli and Kaana Miatli.,"Выберите остаться в деревне Итцель, чтобы защитить её от Mordrem Guard вместе с Ibli и Kaana Miatli."
Chosen,Избранный
Choya Champion,Чемпион Чойя
Choya Fractal Hero,Герой фрактала Чойя
Choya Language Expert,Эксперт по языку Чойя
Choya Momentum,Импульс Чойя
Choya Response Mission,Миссия реагирования Чойя
Choya vs. World,Чойя против мира
Chromatic Assassin Weapon Collection,Коллекция оружия Хроматического ассасина
Chromatic Resin Weapon Collector,Коллекционер оружия из Хроматической смолы
Chuck Out the Trash,Выбросить мусор
Chuka and Champawat I: Hunter's Journal,Chuka и Champawat I: Дневник охотника
Chuka and Champawat I: The Hunt,Chuka и Champawat I: Охота
Chuka and Champawat II: Ambush,Chuka и Champawat II: Засада
Chuka and Champawat III: Naturalist's Journal,Chuka и Champawat III: Дневник натуралиста
Chuka and Champawat III: Tigris,Chuka и Champawat III: Tigris
Chuka and Champawat IV: A Nontraditional Family,Chuka и Champawat IV: Нетрадиционная семья
Chuka and Champawat IV: Baby Book,Chuka и Champawat IV: Книга малыша
Chuka and Champawat IV: Secluded Tour,Chuka и Champawat IV: Уединенный тур
Chuka and Champawat IV: Tiger Training Guide,Chuka и Champawat IV: Руководство по дрессировке тигров
Chum Chucker,Метатель приманки
Cin Business,Бизнес Cin
Cinder Steeltemper's Footsteps,Следы Cinder Steeltemper
Citadel Crasher,Разрушитель Цитадели
Citadel of Flame Collector,Коллекционер Цитадели Пламени
Citadel of Flame Foe,Враг Цитадели Пламени
Clad for the North,Экипирован для Севера
Claim Knut Whitebear's seat as your own.,Займите место Knut Whitebear как свое собственное.
Claim land for your realm in World versus World.,Заявить земли для вашего королевства в «Мир против Мира».
Claim the Wizard's Vault daily meta reward.,Заберите ежедневную мета-награду Wizard's Vault.
Claim victory in the Battle of Dragonfall.,Одержать победу в битве за Драконий Утёс.
Claim victory in the Snowball Mayhem activity 3 times during Wintersday.,Одержать победу в мероприятии «Снежная битва» 3 раза во время Зимнего дня.
Claim victory in the Storms of Winter.,Одержите победу в Storms of Winter.
Clamber across the Consortium's construction to reach ancient ruins.,"Переберитесь через постройки Консорциума, чтобы добраться до древних руин."
Clarity,Ясность
"Clawing your way to first place, one match at at time.","Пробивайся к первому месту, матч за матчем."
Claws to the Wall,Когти к стене
Clean up oil spills on the ice floe.,Убери разливы нефти на ледяной льдине.
Cleaned Your Clockheart,Очистил твое Сердце Часов
Cleaning House,Генеральная уборка
Cleaning Up the Mess,Уборка беспорядка
Cleaning Up the Neighborhood,Уборка района
Cleansing Tormented Remnants,Очищение мучимых останков
Cleanup Crew,Команда зачистки
Cleanup Duty,Обязанности по уборке
Clear  underwater drains in Kaineng City.,Очисти подводные стоки в городе Kaineng City.
Clear Skies,Ясное небо
Clear all Mistburned enemies out of the Veiled Library and its surroundings.,"Зачисти всех врагов, опаленных Туманами, из Veiled Library и ее окрестностей."
Clear enemies from Rising Bloom's garden without letting him die.,"Зачисти врагов в саду Rising Bloom, не дав ему погибнуть."
Clear enemies from Rising Bloom's garden without letting him drop below 90 percent health.,"Зачисти врагов в саду Rising Bloom, не дав его здоровью упасть ниже 90 процентов."
Clear every room in the Valdhertz Crypts.,Зачисти все комнаты в Valdhertz Crypts.
Clear the Armada using the leap skill less than 10 times.,"Зачисти Armada, используя навык прыжка менее 10 раз."
Clear the Canals,Зачисти каналы
Clear the docks within the time limit during the Primordus Rising story chapter.,Зачисти доки в пределах лимита времени во время сюжетной главы Primordus Rising.
Clear the research facility of all Inquest before you depart.,Зачисти исследовательский комплекс от всех Inquest перед уходом.
Clear your name.,Очисти свое имя.
"Clearly, an overpowered shovel.","Очевидно, перекачанная лопата."
Cliffside Fractal Stabilizer,Стабилизатор фрактала Cliffside
"Climb into one of the enchanted spell armors in the Deepwoods, Mothmarsh, or Sanctum of the Divine.","Заберись в один из зачарованных доспехов в Deepwoods, Mothmarsh или Sanctum of the Divine."
Climb that ladder!,Лезь по лестнице!
Climb the heights of the Vizier's Tower.,Взберись на высоты башни Vizier's Tower.
Climb the wreckage site to reach the highest peak in Prospect Valley.,"Взберись на место крушения, чтобы достичь высочайшего пика в Prospect Valley."
Climb through the collapse!,Пробирайся через завал!
Climb to the highest point in Prospect Valley.,Взберись на высочайшую точку в Prospect Valley.
Climb to the top of the Bone Palace.,Взберись на вершину Bone Palace.
Climb to the top of the crashed airship in the Ogre camp.,Взберись на вершину разбитого дирижабля в лагере огров.
Climb wreckage to reach the highest peak in Prospect Valley.,"Взберись по обломкам, чтобы достичь высочайшего пика в Prospect Valley."
Clip the wings of these she-beasts.,Подрежь крылья этим бестиям.
Cloak and Snagger,Плащ и хват
Cloaked in Scales,Укрытый чешуей
Clocktower's Champion,Чемпион Часовой башни
Clockwork Chaos Completionist,Завершитель Clockwork Chaos
Clockwork Chaos Mastery,Мастерство Clockwork Chaos
Clockwork Invasion,Вторжение заводных механизмов
Clockwork Precision,Механическая точность
Clogged Drain,Забитый сток
Close Call,На волосок от гибели
Close magical rifts in Bloodstone Fen.,Закрой магические разломы в Bloodstone Fen.
Close the Door,Закрой дверь
