english,translate
Quickening Screech,Ускоряющий визг
Quickening Zephyr,Ускоряющий зефир
"Quickly dash along the ground, summoning spikes along the way and then delivering an area strike.","Быстро промчитесь по земле, призывая шипы на пути, а затем нанесите удар по области."
Quickly dash toward your foe and then shadowstep to deliver a debilitating attack that immobilizes your enemies.,"Быстро броситься к противнику, а затем сделать Призрачный Шаг, проведя атаку, которая обездвиживает врагов."
"Quickly heat the area around your enemy, melting defenses.","Быстро нагрейте область вокруг врага, расплавляя защиту."
"Quickly roll backward, leaving behind a line of fire that burns.","Быстро откатитесь назад, оставляя за собой линию огня, которая поджигает."
Quickly snap your staff to pull enemies in and make them vulnerable.,"Быстро щёлкните посохом, чтобы притянуть врагов и сделать их уязвимыми."
Quickly step forward to strike your foe while reloading your gun. Restores ammo to skill 5.,"Быстро шагните вперёд, чтобы ударить врага, перезаряжая оружие. Восстанавливает боезапас навыка 5."
"Quickly strike the ground, blinding nearby enemies. If this strikes an enemy, follow up with a leaping strike that removes boons.","Быстро ударьте по земле, ослепляя ближайших врагов. Если удар попал по врагу, последует прыжок с ударом, снимающий благословения."
"Quickly strike the ground, dazing nearby enemies. If this strikes an enemy, follow up with a leaping strike that dazes enemies again. If you strike an enemy that is using a skill, gain barrier.","Быстро ударьте по земле, ошеломляя ближайших врагов. Если удар попал по врагу, последует прыжок с ударом, который снова ошеломляет врагов. Если вы поразили врага, использующего навык, получите барьер."
Quickness,Скорость
Quickness Increase per Target Struck,Увеличение скорости за каждую пораженную цель
Radiant Arc,Лучистая дуга
Radiant Blindness,Лучистая слепота
Radiant Bulwark,Лучистый оплот
Radiant Courage,Лучистая отвага
Radiant Fury,Лучистая ярость
Radiant Justice,Лучистое правосудие
Radiant Resolve,Лучистая решимость
Radiation Field,Радиационное поле
Radius,Радиус
Radius Increase,Увеличение радиуса
Rage Bomb,Бомба ярости
Rage Fissure,Разлом ярости
Raging Ricochet,Яростный рикошет
Rain of Blades,Дождь клинков
Rain of Blows,Град ударов
Rain of Chaos,Град хаоса
Rain of Spikes,Град шипов
Rain of Spores,Град спор
Rain of Swords,Град мечей
"Rains ice blocks over a large area, encasing enemies hit in ice.","Обрушивает ледяные глыбы на большую область, заключая пораженных врагов в лед."
Rake the Rot,Гниение
"Rally and fight normally for a brief time. You have a chance to fully rally if you kill an enemy. When the vengeance ends, you are defeated.","Оживитесь и сражайтесь в обычном режиме короткое время. У вас есть шанс полностью восстановиться, если вы убьёте врага. Когда время возмездия истечет, вы будете повержены."
Rallying Roar,Оживляющий рык
Ram your sword into the ground and make fire erupt near your foes.,Вонзить ваш меч в землю и вызвать извержение огня поблизости от ваших противников.
Rampage,Ярость
Rampant Growth,Безудержный рост
Rampart Splitter,Раскалыватель бастионов
Random Impacts,Случайные удары
Randomly strike the surrounding area with lightning.Damage is reduced per target each time foes are struck by this skill.,Случайным образом поражает окружающую область молниями.Урон снижается для каждой цели при каждом попадании этого навыка.
Range,Дальность
Range Threshold,Порог дальности
Ranged.Throw your spear.,Дистанционная. Метните копьё.
Rapid Assault,Стремительная атака
Rapid Decay,Быстрый распад
Rapid Fire,Беглый огонь
Rapid Swipe,Быстрый взмах
"Rapidly fire at your foe, making them vulnerable with each hit. Damage is increased per stack of Water Arrow.","Стреляйте по врагу, делая его уязвимым с каждым попаданием. Урон увеличивается за каждый стак Water Arrow."
Rapidly heal over time.,Быстрое исцеление со временем.
"Rapidly strike foes in front of you, inflicting vulnerability.","Быстро атакуйте врагов перед собой, накладывая уязвимость."
Rate of Fire,Скорострельность
Rate of Fire Increase,Увеличение скорострельности
Ravager's Abandon,Отречение Опустошителя
Ravenous Wave,Ненасытная волна
Raw magical energy courses through you.,Чистая магическая энергия течет сквозь вас.
Ray of Judgment,Луч правосудия
Razor Dust,Пыль лезвий
Razorclaw's Rage,Ярость Острого Когтя
Reaching the heat maximum results in a self-damaging explosion. Photon Forge is disabled until all heat is lost. Other tool belt skill cooldowns are increased.,"Достижение максимума тепла приводит к взрыву, наносящему урон владельцу. Фотонная Кузня отключается до полного сброса тепла. Время восстановления других навыков пояса инструментов увеличивается."
Reap life force from nearby foes.,Собрать урожай жизненной силы из противников поблизости.
Reaper of Grenth,Жнец Грента
Reaper's Mark,Метка жнеца
Reaper's Scythe,Коса жнеца
Reaper's Shroud,Саван жнеца
Reaver's Rage,Ярость грабителя
Rebound,Отскок
Recall Axes,Возврат топоров
Recall Mech,Возврат меха
Recall your mech for repairs. The cooldown of Crash Down is determined by the amount of damage your mech has taken.,"Верните своего меха для ремонта. Время перезарядки Crash Down определяется количеством урона, полученного вашим мехом."
Recent damage from Decima's fluxlance attacks has made you more vulnerable to dancing sparks.,Недавний урон от атак fluxlance Decima сделал вас более уязвимыми к танцующим искрам.
Recently struck by <c=@abilitytype>Banish</c>. <c=@abilitytype>Mighty Blow</c> will consume this effect to teleport to the target.,"Недавно поражён <c=@abilitytype>Изгнанием</c>. <c=@abilitytype>Мощный удар</c> поглотит этот эффект, чтобы телепортироваться к цели."
Rechage Reduced per Clone,Перезарядка сокращается за каждого клона
Recharge,Перезарядка
Recharge Increased,Перезарядка увеличена
Recharge Reduced,Перезарядка сокращена
Recharge Time,Время перезарядки
Recharge Time Reduced,Время перезарядки сокращено
Recharge increase per gyro,Увеличение перезарядки за каждый гироскоп
Recharge reduced to,Перезарядка сокращена до
Recharging,Перезарядка
"Recite a cleansing word, purifying allies of conditions and helping them recover.","Произнесите очищающее слово, снимая состояния с союзников и помогая им восстановиться."
Reckless Impact,Безрассудный удар
Reckless Leap,Безрассудный прыжок
Reckoning Blast,Карающий взрыв
Reconstruction Field,Поле реконструкции
"Recount a truth to enemies in front of and around you, inflicting them with conditions.","Поведайте истину врагам перед собой и вокруг, накладывая на них состояния."
Rectifier Signet,Печать выпрямителя
Red Marble,Красный мрамор
Redirect any active circular projectiles toward your target.,Направить на цель все активные кружащиеся снаряды.
Redraw any artifacts you currently have in your skill slots.,"Пересоздайте любые артефакты, которые в данный момент находятся в ваших ячейках навыков."
Reduce incoming condition damage.,Снижает входящий урон от состояний.
Reduce incoming damage by 50%%. Striking an enemy reduces the recharge of Forest's Fortification.,Уменьшает входящий урон на 50%%. Атака врага уменьшает время восстановления Лесного укрепления.
Reduce incoming damage to allies.,Снижает входящий урон союзникам.
Reduce incoming damage while preventing movement-impeding conditions from being inflicted on you.,"Снижает входящий урон, предотвращая наложение на вас состояний, ограничивающих передвижение."
Reduce incoming damage.,Снижает входящий урон.
Reduce incoming strike damage.,Снижает входящий прямой урон.
Reduced incoming condition damage.,Входящий урон от состояний снижен.
Reduced incoming damage.,Входящий урон снижен.
Reduced incoming strike damage.,Входящий урон от ударов снижен.
Reduced incoming strike damage. Heal when this expires. <c=@reminder>Healing will also occur if this effect is reapplied while still active.</c>,"Входящий урон от ударов снижен. Исцеляет по истечении эффекта. <c=@reminder>Исцеление также произойдёт, если эффект будет наложен повторно, пока он ещё активен.</c>"
Reduces duration of applied regeneration to instantly heal the target.,"Сокращает длительность наложенной регенерации, мгновенно исцеляя цель."
Reduces incoming condition duration.,Снижает длительность входящих состояний.
Reduces your maximum health. Stacks intensity.,Снижает ваше максимальное здоровье. Суммируется по интенсивности.
"Reeg exhales lingering clouds of poisonous gas that travel outward to form 3 conical areas. The gas clouds stay in place for several seconds, poisoning foes inside them. Victims affected by the gas who have 20 stacks of poison have those stacks turned into 1 stack of Plague Rot.","Reeg выдыхает стойкие облака ядовитого газа, которые распространяются наружу, образуя 3 конические области. Облака газа остаются на месте в течение нескольких секунд, отравляя врагов внутри. Жертвы, затронутые газом и имеющие 20 стаков яда, получают их преобразование в 1 стак Чумной гнили."
"Reeg exhales lingering clouds of poisonous gas that travel outward to form 3 roughly conical areas. The gas clouds stay in place for several seconds, poisoning foes inside them.","Reeg выдыхает стойкие облака ядовитого газа, которые распространяются наружу, образуя 3 конические области. Облака газа остаются на месте в течение нескольких секунд, отравляя врагов внутри."
"Reeg targets up to 3 foes, preferring the most distant combatants. He slams his fist down, creating a damaging sphere that will then fire a blob of blight that follows the targeted enemy for 12 seconds, firing multiple smaller projectiles as it moves. If it hits a targeted foe, it will also create a stationary blob of blight that fires projectiles for several seconds.","Reeg выбирает до 3 врагов, отдавая предпочтение самым дальним целям. Он ударяет кулаком по земле, создавая наносящую урон сферу, которая затем выпускает сгусток скверны, преследующий выбранного врага в течение 12 секунд и выпускающий множество мелких снарядов во время движения. Если он попадает в выбранного врага, он также создает стационарный сгусток скверны, который выпускает снаряды в течение нескольких секунд."
Reflect projectiles with magnetic energy.,Отразить снаряды при помощи магнитной энергии.
Reflection Duration,Длительность отражения
Reflects Missiles,Отражает снаряды
Reflects incoming projectiles.,Отражает входящие снаряды.
Reflects missiles.,Отражает снаряды.
Reflexive Strike,Рефлекторный удар
Reformed Mirage Mirror,Обновленное зеркало миража
Refraction,Преломление
Refraction Cutter,Резак преломления
"Refresh your bond with your channeled legend, gaining energy and legend-specific effects.","Обновите связь с вашей текущей легендой, получая энергию и специфические для легенды эффекты."
Regenerate,Регенерация
Regenerate health.,Восстанавливает здоровье.
Regenerating Mist,Регенерирующий туман
Regeneration,Регенерация
Rejuvenate,Омоложение
Rejuvenating Assault,Омолаживающая атака
Rejuvenating Respite,Омолаживающий отдых
Rejuvenating Tides,Омолаживающие приливы
Relapse,Рецидив
Release Celestial Avatar,Высвободить Небесного аватара
Release Hammers,Высвободить молоты
Release Potential: Assassin,Высвобождение потенциала: Ассасин
Release Potential: Dervish,Высвобождение потенциала: Дервиш
Release Potential: Mesmer,Высвобождение потенциала: Месмер
Release Potential: Monk,Высвобождение потенциала: Монах
Release Potential: Warrior,Высвобождение потенциала: Воин
"Release a blast of Mists energy that heals allies and knocks enemies back, infusing your foes with dangerous power. Inflict conditions based on your current legend each time a target is struck.","Высвобождает взрыв энергии Туманов, который исцеляет союзников и отбрасывает врагов, наделяя противников опасной силой. Накладывает состояния в зависимости от вашей текущей легенды при каждом попадании по цели."
"Release a blinding burst of light from your holographic emitter. While above the heat threshold, gain light aura.","Высвобождает ослепляющую вспышку света из вашего голографического излучателя. Если уровень нагрева выше порогового, вы получаете ауру света."
Release a burst of Mists energy that heals and removes conditions from allies. Create a healing orb for each ally that loses conditions.,"Выпустить заряд энергии Туманов, который исцеляет и снимает состояния с союзников. Создать исцеляющую сферу за каждого союзника, с которого были сняты состояния."
Release a burst of air to knock down your enemies and gain superspeed.,"Выпустить струю воздуха, чтобы сбить противников с ног и получить сверхскорость."
Release a cloud of mist to regenerate you and your allies.,"Выпустить облако мглы, которая дарует Регенерацию вам и вашим союзникам."
Release a current of water to damage foes and regenerate allies.,"Высвободить подводное течение, которое наносит урон противникам и дарует Регенерацию союзникам."
Release a disembodied hand to draw life force from your foe.,"Выпустить отделенную от тела руку, чтобы вытянуть жизненную силу из ваших противников."
"Release a fiery phoenix that attacks foes in a line before exploding and returning to you, curing a condition and granting you vigor. Inflict additional burning against foes that are already burning.","Высвобождает огненного феникса, который атакует врагов по линии, прежде чем взорваться и вернуться к вам, снимая состояние и даруя вам энергичность. Наносит дополнительный урон горением врагам, которые уже горят."
Release a fiery torrent that burns enemies.,"Выпустить огненный поток, который поджигает противников."
Release a hail of arrows toward your target and enemies nearby them.,Выпустить град стрел в вашу цель и противников вокруг неё.
Release a mist of healing liquid to regenerate nearby allies.,"Выпустить пары исцеляющего раствора, который дарует Регенерацию союзникам поблизости."
Release a rapid volley of arrows.,Выпустить залп стремительных стрел.
Release a shock wave of inertial force to damage nearby foes.,"Выпустить инерционную шоковую волну, которая наносит урон противникам поблизости."
"Release a slow-moving, detonatable air pocket. When it explodes, you teleport to that location.",Высвобождает медленно движущийся детонируемый воздушный карман. При взрыве вы телепортируетесь в это место.
"Release all of your woven elements and end your <c=@abilitytype>Weave Self</c> stance, causing gravity itself to unravel around you.","Высвободите все сплетённые элементы и завершите стойку <c=@abilitytype>Сплетение себя</c>, заставляя саму гравитацию распутываться вокруг вас."
"Release an arrow that shatters upon striking, inflicting bleeding on nearby foes.","Высвобождает стрелу, которая разбивается при попадании, накладывая кровотечение на ближайших врагов."
Release an orb of cleansing light that cures conditions on allies it passes through and detonates on enemies struck. Burns foes and cures conditions on allies within the blast radius.,"Выпустить шар очистительного света, который снимает состояния с союзников, через которых он пролетает, и взрывается при попадании во врага. Поджигает противников и снимает состояния с союзников в радиусе взрыва."
"Release piranhas that bleed and cripple foes. The first pulse of this skill will immobilize foes who are movement impaired or disabled. Disables include stun, daze, knockback, pull, knockdown, sink, float, launch, taunt, and fear.","Высвобождает пираний, которые накладывают кровотечение и хромоту на врагов. Первый импульс этого навыка обездвиживает врагов, чье передвижение ограничено или которые находятся под действием эффектов контроля. Эффекты контроля включают: оглушение, ошеломление, отбрасывание, притягивание, нокдаун, погружение, всплытие, подбрасывание, провокацию и страх."
Release purifying vapors to cleanse conditions from allies near you at each interval.,"Выпустить очищающие испарения, которые снимают с союзников поблизости состояния при каждом такте."
Release the Bear,Высвободить Медведя
Release the Mists from your aura with a chance to inflict conditions based on your current legend.,"Выпустить Туманы с шансом наложить состояние, зависящее от вашей текущей легенды."
Release the Raven,Высвободить Ворона
Release the Snow Leopard,Высвободить Снежного барса
Release the Wolf,Высвободить Волка
Release the magnetic field to knock back nearby foes.,"Выпустить наружу магнитное поле, чтобы оттолкнуть назад противников поблизости."
"Release the tether, pulling the tethered enemy toward you and applying vulnerability to them.","Высвобождает привязь, притягивая привязанного врага к вам и накладывая на него уязвимость."
"Release the tether, shadowstepping toward your tethered ally and granting barrier to allies in the surrounding area.","Высвобождает привязь, совершая теневой шаг к вашему привязанному союзнику и даруя барьер союзникам в округе."
"Releases a solar explosion, killing all enemies in the area.","Высвобождает солнечный взрыв, убивая всех врагов в области."
"Releases a wave of chaotic mists, damaging and knocking back enemies in its path.","Высвобождает волну хаотичных Туманов, нанося урон и отбрасывая врагов на своем пути."
"Releases latent energy stored within the meteorite, heavily damaging everything in the surrounding area.","Высвобождает скрытую энергию, накопленную внутри метеорита, нанося огромный урон всему в округе."
"Releases the sorrow within one's heart, inflicting massive damage on all enemies in sight.","Высвобождает печаль, таящуюся в сердце, нанося огромный урон всем врагам в поле зрения."
Relentless Fire,Неумолимый огонь
Relentless Whirl,Неумолимый вихрь
Relinquish Power,Отказ от силы
Remove Avatar of Melandru,Удалить аватар Меландру
"Remove conditions and gain swiftness, then rush forward and evade attacks.","Снимает состояния и даёт быстроту, затем совершает рывок вперёд, уклоняясь от атак."
Remove conditions from allies.,Снимает состояния с союзников.
Remove conditions from you and nearby allies.,Снять состояния с себя и с союзников поблизости.
Remove conditions from yourself then breathe magical flames that damage foes and cure conditions on allies. Inflicts burning on the final attack.,"Снять с себя состояния, а затем выдохнуть магическое пламя, которое наносит урон противникам и снимает состояния с союзников. Поджечь при последней атаке."
Remove conditions from yourself whenever you use a weapon skill that costs initiative.,"Снимайте состояния с себя каждый раз, когда используете оружейный навык, требующий инициативы."
"Remove conditions on yourself, then fire projectiles that inflict conditions at random enemies within your radius, based on the number of conditions removed.","Снимите состояния с себя, затем выпустите снаряды, накладывающие состояния на случайных врагов в радиусе действия, в зависимости от количества снятых состояний."
"Remove the Avatar of Melandru, returning to your normal form.","Уберите Аватара Меландру, вернувшись в свою обычную форму."
Removes conditions from allies and grants them vigor. Affected targets also gain barrier.,Снимает состояния с союзников и даёт им бодрость. Затронутые цели также получают барьер.
Removes other active Virtue effects.,Снимает другие активные эффекты Добродетелей.
Removes other active Virtue effects.</c,Снимает другие активные эффекты Добродетелей.</c
Rend Asunder,Растерзание
Rend Earth,Раскол земли
Rend your foe with an upward swing. Gain might per target struck.,Разрубить противника ударом снизу вверх. Даровать себе Мощь за каждую пораженную цель.
Rending Barbs,Раздирающие шипы
Rending Claws,Раздирающие когти
Rending Curse,Раздирающее проклятие
Rending Lunge,Раздирающий выпад
Rending Maul,Раздирающий удар
Rending Pounce,Раздирающий прыжок
Rending Slash,Раздирающий разрез
Rending Strike,Раздирающий удар
Rending Swipe,Раздирающий взмах
Rending Talons,Раздирающие когти
Rending Vines,Раздирающие лозы
Renewal of Air,Обновление воздуха
Renewal of Earth,Обновление земли
Renewal of Fire,Обновление огня
Renewal of Water,Обновление воды
Renewed Focus,Обновленный фокус
Renewing Current,Обновляющий поток
Renewing Wave,Обновляющая волна
