english,translate
Mist-Charged Chop,Заряженный Туманом рубящий удар
Mistburn Mortar,Миномет «Ожог Тумана»
Mistlock Instability: Earthquake,Нестабильность Тумана: Землетрясение
Mistral,Мистраль
Mists Projection,Проекция Туманов
Mistsfire,Огонь Туманов
Mitotic State,Митотическое состояние
Moa Stance,Стойка моа
Molten Armor,Расплавленная броня
Molten Burst,Расплавленный взрыв
Molten End,Расплавленный финал
Molten Meteor,Расплавленный метеор
Mongoose's Frenzy,Бешенство мангуста
Morphed,Трансформирован
Mortar Shot,Минометный выстрел
"Motes of tormenting energies pour from the rift, exploding when they come into contact with the barrier.","Частицы мучительной энергии изливаются из разлома, взрываясь при контакте с барьером."
Motivating Whirl,Мотивирующий вихрь
"Move swiftly in a direction, knocking back enemies you collide with.","Быстро переместитесь в выбранном направлении, отбрасывая врагов, с которыми столкнетесь."
Movement Skill Projectile,Снаряд навыка перемещения
Movement Speed Increase,Увеличение скорости передвижения
Movement speed decreased by 50%%; stacks duration.,Скорость передвижения снижена на 50%%; длительность суммируется.
Movement speed decreased by 66%%; skill cooldown increased by 66%%; stacks duration.,Скорость передвижения снижена на 66%%; время восстановления навыков увеличено на 66%%; длительность суммируется.
Movement speed increased by 25%%.,Скорость передвижения увеличена на 25%%.
Movement speed increased by 33%%; stacks duration.,Скорость передвижения увеличена на 33%%; длительность суммируется.
Movement speed is greatly increased. Maximum duration: 10s,Скорость передвижения значительно увеличена. Максимальная длительность: 10 с.
Mud Duration,Длительность грязи
Mud Slide,Грязевой оползень
Muddy Terrain,Грязная местность
Multishot,Мультивыстрел
Murky Water,Мутная вода
Mursaat Overseer pulses magical damage every 3 seconds to all foes.,Mursaat Overseer наносит магический урон всем врагам каждые 3 секунды.
Mursaat Overseer's game board deals damage to foes while standing on claimed tiles.,"Игровое поле Mursaat Overseer наносит урон врагам, стоящим на захваченных клетках."
Mutate Conditions,Мутация состояний
Mystic Detonation,Мистическая детонация
Mystic Rebuke,Мистический упрек
Mystic Wave,Мистическая волна
Mythwright Discharge,Разряд Mythwright
Napalm,Напалм
Narcotic Spores,Наркотические споры
Narella fires a series of projectiles that deal damage on impact and leave deadly pools behind.,"Narella выпускает серию снарядов, которые наносят урон при попадании и оставляют после себя смертоносные лужи."
"Narella shoots fiery tornadoes that drag foes, dealing damage every second.","Narella выпускает огненные торнадо, которые притягивают врагов, нанося урон каждую секунду."
"Narella shoots forward a burst of flame, dealing decreased damage the farther it is from its target.","Narella выпускает вперёд вспышку пламени, наносящую тем меньше урона, чем дальше цель находится от источника."
Natural Convergence,Природная конвергенция
Natural Frenzy,Природное неистовство
Natural Harmony,Природная гармония
Natural Healing,Природное исцеление
Nature's Binding,Природные путы
Nature's Renewal,Обновление природы
Nature's Strength,Сила природы
Nearby Targets,Ближайшие цели
Nearby foes are tormented and weakened.,Ближайшие враги получают мучение и слабость.
Necrotic Bite,Некротический укус
Necrotic Grasp,Некротический захват
Necrotic Slash,Некротический удар
Necrotic Stab,Некротический выпад
Necrotic Traversal,Некротическое перемещение
Needle Explosion,Игольчатый взрыв
Needle Shot,Игольчатый выстрел
Nefarious Favor,Гнусное одолжение
Negative Bash,Негативный удар
Negative Burst,Негативный взрыв
Net Attack,Сетевая атака
Net Radius,Радиус сети
Net Shot,Выстрел сетью
Net Turret,Турель с сетью
Net Wall,Стена из сети
Neurotoxin Burst,Взрыв нейротоксина
Next outgoing attack misses; stacks duration.,Следующая исходящая атака промахнется; суммирует длительность.
Nightfall,Наступление ночи
Nightmare Fusillade,Кошмарный залп
Nightmare Weapon,Оружие кошмара
Nine-Tailed Strike,Удар девятихвостого
Nomad's Advance,Наступление кочевника
Nondamaging conditions currently on you are ineffective; stacks duration.,"Ненаносящие урон состояния, действующие на вас в данный момент, неэффективны; суммирует длительность."
Now has access to the Hooked Spear ability.,Теперь имеет доступ к способности «Зацепленное копьё».
Now has access to the Repeater skill. Repeater costs less initiative.,Теперь имеет доступ к навыку «Репитер». Репитер требует меньше инициативы.
Noxious Blight,Вредная порча
Noxious Perfume,Вредный парфюм
Noxious Reek,Вредный смрад
Noxious Return,Вредное возвращение
Noxious Vapor Blade,Вредный клинок пара
Noxious Wind,Вредный ветер
"Noxious blights form persistent pools of corruption on the ground. Foes in a noxious blight take continuous damage, and their boons will be corrupted while they remain in the noxious blight.","Вредные порчи образуют стойкие лужи порчи на земле. Враги в области вредной порчи получают постоянный урон, а их благословения будут осквернены, пока они остаются в области вредной порчи."
Null Field,Поле пустоты
Number of Allied Targets,Количество союзных целей
Number of Attacks,Количество атак
Number of Attacks to Trigger,Количество атак для срабатывания
Number of Bounces,Количество отскоков
Number of Casts,Количество применений
Number of Enemy Targets,Количество вражеских целей
Number of Fragments,Количество фрагментов
Number of Grenades,Количество гранат
Number of Hammers,Количество молотов
Number of Hits,Количество попаданий
Number of Hits per Target,Количество попаданий по цели
Number of Impacts,Количество ударов
Number of Leap Finishers,Количество прыжковых финишеров
Number of Projectiles,Количество снарядов
Number of Shots,Количество выстрелов
Number of Strikes,Количество ударов
Number of Targets,Количество целей
Number of Targets (Hammer),Количество целей (Молот)
Number of Targets (Symbol),Количество целей (Символ)
Number of Targets per Cyclone,Количество целей за циклон
Number of Targets per Impact,Количество целей за удар
Number of Thieves,Количество воров
Numbing Breach,Ошеломляющий прорыв
Oaken Cudgel,Дубовая дубинка
Oakheart Swipe,Удар дубосерда
Obliterate,Аннигиляция
Obsidian Flesh,Обсидиановая плоть
"Offensive Artifact. Dash to the targeted location while dropping bombs along your path that detonate after a short period of time, dealing damage and burning enemies. More bombs are dropped the farther you travel.","Наступательный артефакт. Совершите рывок к выбранной цели, сбрасывая по пути бомбы, которые детонируют через короткий промежуток времени, нанося урон и поджигая врагов. Чем дальше вы перемещаетесь, тем больше бомб сбрасывается."
"Offensive Artifact. Rock out with your guitar, damaging and applying conditions to opponents around you, then slam the ground with the guitar, damaging and stunning opponents in the area.","Наступательный артефакт. Зажгите с гитарой, нанося урон и накладывая состояния на противников вокруг вас, затем ударьте гитарой по земле, нанося урон и оглушая противников в области."
"Offensive Artifact. Shoot an orb that explodes upon impact with the ground, creating a corrupted area that deals damage and applies conditions to enemies.","Наступательный артефакт. Выстрелите сферой, которая взрывается при ударе о землю, создавая область порчи, наносящую урон и накладывающую состояния на врагов."
Offensive Artifact. Summons a Kryptis turret at your targeted location and fires at the closest foe in range.,"Наступательный артефакт. Призывает турель Криптисов в выбранном месте, которая стреляет по ближайшему врагу в радиусе действия."
Offensive Protocol: Demolish,Наступательный протокол: Разрушение
Offensive Protocol: Obliterate,Наступательный протокол: Уничтожение
Offensive Protocol: Pierce,Наступательный протокол: Пронзание
Offensive Protocol: Shred,Атакующий протокол: Кромсание
Oil Slick Duration,Длительность масляного пятна
One Wolf Pack,Стая одного волка
"Open the Mists around you to fire multiple projectiles at your enemy, with a chance to inflict conditions based on your current legend.","Откройте Туманы вокруг себя, чтобы выпустить несколько снарядов по врагу, с шансом наложить состояния в зависимости от вашей текущей легенды."
Opening Passage,Открывающий проход
"Opening its horrible maw, the Eater of Souls sucks spirits into its mouth to be consumed for eternity.","Открывая свою ужасную пасть, Пожиратель душ засасывает духов внутрь, чтобы поглощать их вечно."
Oppressive Collapse,Гнетущий крах
Oppressive Gaze,Гнетущий взгляд
Orb of Wrath,Сфера гнева
Orbital Command Strike,Орбитальный командный удар
Orbital Strike,Орбитальный удар
Orbital Sweep,Орбитальный взмах
Orchestrated Assault,Спланированная атака
Order Ofela Soulcleave to leave the field.,Приказать Офеле Разрубленная Душа покинуть поле боя.
Orders from Above,Приказы свыше
Ordnance Count,Счётчик боеприпасов
Otherworldly Attraction,Потустороннее притяжение
Otherworldly Bond,Потусторонняя связь
Otter's Compassion,Сострадание выдры
Outer Radius,Внешний радиус
