english,translate
"""Die Hütte, die von zu Hause weglief"" von Pochender Pfeil (""Poky"")","«Хижина, которая сбежала из дома» Стучащей Стрелы («Поки»)"
"""Zerschmetterter Stein""-Rucksack- und Gleitschirm-Kombo","""Zerschmetterter Stein""-Rucksack- und Gleitschirm-Kombo"
"%str1%%str2%Leichte ""Wahrer Blick""-Handschuhe%str3%%str4%","%str1%%str2%Лёгкие перчатки ""Истинного взгляда""%str3%%str4%"
"%str1%%str2%Schwere ""Wahrer Blick""-Maske%str3%%str4%","%str1%%str2%Schwere ""Wahrer Blick""-Maske%str3%%str4%"
"%str1%%str2%Schweres ""Wahrer Blick""-Wams%str3%%str4%","%str1%%str2%Schweres ""Wahrer Blick""-Wams%str3%%str4%"
"(Festival) Schließt den Erfolg ""Güter-Händler (jährlich)"" beim Fest der Vier Winde ab.",(Фестиваль) Завершите достижение «Торговец товарами (ежегодно)» на Празднике Четырёх Ветров.
"+10%% Outgoing Healing
+30 Healing Power
+10%% Karma
+5%% All Experience Gained
+20%% Magic Find
+20%% Gold Find
+10%% WXP Gained","+10%% Исходящее лечение
+30 Сила лечения
+10%% Карма
+5%% Ко всему получаемому опыту
+20%% Шанс найти магические предметы
+20%% Шанс найти золото
+10%% Получаемый опыт за выполнение заданий"
"+10%% Outgoing Healing
+80 Concentration
+60 Healing Power
+10%% Karma
+5%% All Experience Gained
+20%% Magic Find
+20%% Gold Find
+10%% WXP Gained","+10 %% Исцеление, наносимое союзникам
+80 Концентрация
+60 Сила исцеления
+10 %% Карма
+5 %% Весь получаемый опыт
+20 %% Шанс найти магические предметы
+20 %% Шанс получить больше золота
+10 %% Получаемый опыт WXP"
"+32 Condition Damage
+18 Toughness
+18 Vitality","+32 урона от состояний
+18 к силе
+18 к жизненной силе"
"+5 Toughness
+2 Precision","+5 к живучести
+2 точности"
"-10%% Incoming Damage
+50 Condition Damage
+40 Expertise
+10%% Karma
+5%% All Experience Gained
+20%% Magic Find
+20%% Gold Find
+10%% WXP Gained","-10%% Урон от входящих атак
+50 Урона по состояниям
+40 Экспертиза
+10%% Карма
+5%% Ко всему получаемому опыту
+20%% Шанс найти магический предмет
+20%% Шанс получить больше золота
+10%% Получаемый опыт WXP"
"-10%% Incoming Damage
+80 Healing Power
+60 Concentration
+10%% Karma
+5%% All Experience Gained
+20%% Magic Find
+20%% Gold Find
+10%% WXP Gained","-10%% входящий урон
+80 сила исцеления
+60 концентрация
+10%% карма
+5%% ко всему получаемому опыту
+20%% шанс найти магический предмет
+20%% шанс найти золото
+10%% получаемый опыт"
"-20%% Incoming Condition Duration
+30 Concentration
+10%% Karma
+5%% All Experience Gained
+20%% Magic Find
+20%% Gold Find
+10%% WXP Gained","-20%% Длительность входящих эффектов
+30 Концентрация
+10%% Кармы
+5%% Получаемого опыта
+20%% Шанс найти магические предметы
+20%% Шанс получить золото
+10%% Получаемых очков опыта"
"66%% Chance to Steal Life on Critical Hit
+35 to All Attributes
+10%% Karma
+5%% All Experience Gained
+20%% Magic Find
+20%% Gold Find
+10%% WXP Gained","66%% шанс на кражу здоровья при критическом ударе
+35 ко всем характеристикам
+10%% кармы
+5%% к получаемому опыту
+20%% к шансу найти магические предметы
+20%% к шансу найти золото
+10%% к получаемому опыту мира"
"<br>—You've entered a Costume Brawl.
—Attack other players with skills from toys, bundles, and tonics in this free-for-all.
—If you attempt real combat, you'll exit the brawl.","<br>—Вы вступили в Костюмированный поединок.
—Атакуйте других игроков умениями из игрушек, комплектов и зелий в этом свободном для всех сражении.
—Если вы попытаетесь вести настоящий бой, вас исключат из поединка."
"<c=@abilitytype>Mystery Tonic.</c> Transform into a random shape.
<c=@reminder>Left-click to preview next transformation.</c>","<c=@abilitytype>Загадочный тоник.</c> Примите случайный облик.
<c=@reminder>Щёлкните левой кнопкой мыши для предпросмотра следующего превращения.</c>"
"<c=@flavor>""If I can pull this off, my career is set!""
—Shana</c>","<c=@flavor>«Если у меня получится, моя карьера будет обеспечена!»
— Шана</c>"
"<c=@flavor>""Magic is a dangerous thing, especially in the wrong hands.""
—Garen","<c=@flavor>Магия — опасная вещь, особенно в чужих руках.
— Гарен"
"<c=@flavor>""Trick or treat!""</c>
—Your Inner Child","<c=@flavor>«Сладость или гадость!»</c>
— Твой внутренний ребёнок"
"<c=@flavor>""We had to completely re-engineer the insides of these weapons to not get gummed up."",
—Engineer Verutum</c>","<c=@flavor>«Нам пришлось полностью переработать внутренности этого оружия, чтобы оно не забивалось»,
— инженер Верутум</c>"
"<c=@flavor>""You'll need a shield when they start throwing bottles, gears, and the occasional bomb.""
—Scholar Antal the Patient</c>","<c=@flavor>«Тебе понадобится щит, когда полетят бутылки, шестерни и случайная бомба».
—Учёная Антал Терпеливая</c>"
"<c=@flavor>This weapon is used to craft the legendary harpoon gun Frenzy.,
Combine this weapon in the Mystic Forge with:,Соедините это оружие в Мистической кузнице с:
• 1 Gift of Frenzy,
• 1 Gift of Mastery,
• 1 Gift of Fortune</c>","<c=@flavor>Это оружие используется для создания легендарного гарпуна «Бешенство».,
Объедините это оружие в Мистической кузнице с:,
• 1 Дар бешенства,
• 1 Дар мастерства,
• 1 Дар удачи</c>"
"<c=@flavor>This weapon is used to craft the legendary rifle The Predator.,
Combine this weapon in the Mystic Forge with:,Соедините это оружие в Мистической кузнице с:
• 1 Gift of The Predator,
• 1 Gift of Mastery,
• 1 Gift of Fortune</c>","<c=@flavor>Это оружие используется для создания легендарной винтовки «Хищник».
Соедините это оружие в Мистической кузнице с:
• 1 Дар Хищника,
• 1 Дар Мастерства,
• 1 Дар Удачи</c>"
"<c=@flavor>This weapon is used to craft the legendary scepter Meteorlogicus.,
Combine this weapon in the Mystic Forge with:,Соедините это оружие в Мистической кузнице с:
• 1 Gift of Meteorlogicus,
• 1 Gift of Mastery,
• 1 Gift of Fortune</c>","<c=@flavor>Это оружие используется для создания легендарного скипетра «Метеорлогикус».,
Соедините это оружие в Мистической кузнице с:
• 1 Дар Метеорлогикуса,
• 1 Дар Мастерства,
• 1 Дар Удачи</c>"
"<c=@flavor>This weapon is used to craft the legendary shield The Flameseeker Prophecies.,
Combine this weapon in the Mystic Forge with:,Соедините это оружие в Мистической кузнице с:
• 1 Gift of The Flameseeker Prophecies,• 1 [Дар|Дара|Даров] «Пророчества Ищущего Пламя»
• 1 Gift of Mastery,
• 1 Gift of Fortune</c>","<c=@flavor>Это оружие используется для создания легендарного щита «Пророчества Ищущего Пламя».,
Объедините это оружие в Мистической кузнице с:,Соедините это оружие в Мистической кузнице с:
• 1 Дар «Пророчества Ищущего Пламя»,• 1 Дар «Пророчества Ищущего Пламя»
• 1 Дар мастерства,
• 1 Дар удачи</c>"
<c=@reminder>Diese Miniatur kann in Schwarzlöwen-Truhen gefunden werden.</c>,<c=@reminder>Эту миниатюру можно найти в сундуках Чёрного льва.</c>
?Alabado sea Joko!,?Алабадо море Джоко!
"A gift used to create legendary weapons.,'Подарок, используемый для создания легендарного оружия.'
Made by combining these items in the Mystic Forge:,
• 250 Vicious Fangs,
• 250 Armored Scales,• 250 бронированных чешуй
• 250 Vicious Claws,
• 250 Ancient Bones","Подарок, используемый для создания легендарного оружия.,'Подарок, используемый для создания легендарного оружия.'
Создается путем объединения этих предметов в Мистической кузнице:,
• 250 Злобных клыков,
• 250 Бронированных чешуй,• 250 бронированных чешуй
• 250 Злобных когтей,
• 250 Древних костей"
"A high-powered device for stabilizing severely unstable magic rifts.

Double-click to equip.","Мощное устройство для стабилизации крайне нестабильных магических разломов.

Дважды щёлкните, чтобы экипировать."
"A message from Researcher Yarixx, who has developed a powerful new system that harnesses spirit essence
A missing belonging found inside a rift in the Mists.,'Утерянная вещь, найденная внутри разлома в Туманах.'
A mission statement of dredge freedom.,Заявление о миссии свободы дрэджей.
A missive from Skimmer Trainer Ardra containing information on troop movements. Intended for delivery to Healer Ebele north of Arid Gladefields. Can be consumed for Mastery experience and karma.,'Послание от тренера скакунов Ардры, содержащее информацию о передвижении войск. Предназначено для доставки целителю Эбеле к северу от Сухих Полян. Можно использовать для получения опыта Мастерства и кармы.'
A mud-stained note that appears to be from a journal. Some bits are still legible. This item only has value as part of a collection.,
A mysteriously light and well-balanced weapon that seems malleable to your wishes. Double-click to choose what form it should take.,'Таинственно лёгкое и хорошо сбалансированное оружие, которое, кажется, поддаётся вашим желаниям. Дважды щелкните, чтобы выбрать форму, которую оно должно принять.'
A note from Yasna to Sunsmith Ouissal asking for her help.,
A nutritious and magic-imbued snack made specially for jackals! Double-click to feed this to your jackal.","Послание от исследователя Ярикса, разработавшего мощную новую систему, использующую сущность духов.
Утерянная вещь, найденная внутри разлома в Туманах.
Заявление о миссии свободы дрэджей.
Послание от тренера скакунов Ардры, содержащее информацию о передвижении войск. Предназначено для доставки целителю Эбеле к северу от Сухих Полян. Можно использовать для получения опыта Мастерства и кармы.
Грязное пятнистое письмо, похожее на страницу из дневника. Некоторые части ещё читаемы. Этот предмет имеет ценность только как часть коллекции.
Таинственно лёгкое и хорошо сбалансированное оружие, которое, кажется, поддаётся вашим желаниям. Дважды щёлкните, чтобы выбрать форму, которую оно должно принять.
Записка от Ясны к Солнцесмиту Уиссалу с просьбой о помощи.
Питательный и магический перекус, приготовленный специально для шакалов! Дважды щёлкните, чтобы накормить им своего шакала."
"A nutritious and magic-imbued snack made specially for jackals! Double-click to feed this to your jackal.

Gives bonus Mastery experience once per day.","Питательное лакомство, напитанное магией и созданное специально для шакалов! Дважды щёлкните, чтобы угостить своего шакала.

Раз в день даёт дополнительный опыт мастерства."
"A recollection of the life and deeds of Mad King Thorn, as recounted by his loyal subjects and friends. The volume ends with the coronation of King Thorn. It seems incomplete.
<c=@flavor>—Stories yet untold despite the tower that marks a spooky site. When humans flee their home of old, where they settle cannot be told.</c>","Воспоминания о жизни и деяниях Безумного короля Торна, рассказанные его верными подданными и друзьями. Книга заканчивается коронацией короля Торна. Похоже, она неполная.
<c=@flavor>—Истории, которые ещё предстоит рассказать, несмотря на башню, отмечающую жуткое место. Когда люди покидают свой старый дом, невозможно предсказать, где они поселятся.</c>"
"A recollection of the life and deeds of Mad King Thorn, as told by his loyal subjects and friends. Contains a complete account of King Oswald Thorn's life, from boyhood to gruesome death.
<c=@flavor>""Even after death, I shall return! And all my enemies will burn, burn, BURN!""
—Mad King Thorn</c>","Воспоминания о жизни и деяниях Безумного короля Торна, рассказанные его верными подданными и друзьями. Содержит полный рассказ о жизни короля Освальда Торна, от юности до ужасной смерти.
<c=@flavor>«Даже после смерти я вернусь! И все мои враги сгорят, сгорят, СГОРЯТ!»
— Mad King Thorn</c>"
"A relic from a time when heket were common throughout Kourna.

This item only has value as part of a collection.","Реликт времён, когда хекет были распространены по всей Курне.

Этот предмет ценен только как часть коллекции."
"A secret letter that should be brought to Ahel Nakat, who is undercover in the Ruination among the Order of Shadows.

Double-click to locate.","Секретное письмо, которое нужно доставить Ахелю Накату, действующему под прикрытием в Руинах среди Ордена Теней.

Дважды щёлкните, чтобы найти."
"A shark statue used to create Kamohoali'i Kotaki.

Purchase the recipe for this item from any Mystic Forge vendor and reach a jeweler rating of 400 to craft.","Статуя акулы, используемая для создания Kamohoali'i Kotaki.

Купите рецепт этого предмета у любого торговца Mystic Forge и достигните уровня ювелира 400, чтобы изготовить его."
"A skyscale's strength is strongly tied to the amount of care it receives as a hatchling.
Combine 1 White and 2 Copper Skyscale Hatchlings with 12 Unidentified Dyes in the Mystic Forge to create a Silver Skyscale Hatchling.","Сила скайскейла напрямую зависит от того, сколько заботы он получает в детстве.
Соедините 1 белого и 2 медных детёнышей скайскейла с 12 неопознанными красками в Mystic Forge, чтобы создать серебряного детёныша скайскейла."
"A sliver of potential solidified from the Mists.

Use 12 petals to crystalize a Teal Bloom.

<c=@reminder>May be sold to vendors.</c>","Частица потенциала, затвердевшая из Туманов.

Используйте 12 лепестков, чтобы кристаллизовать бирюзовый цветок.

<c=@reminder>Может быть продано торговцам.</c>"
"A turtle egg discovered after the battle with Soo-Won in Dragon's End.

Bring the egg to Gorrik in Arborstone.","Черепашье яйцо, найденное после битвы с Су-Вон в Конце Дракона.

Отнесите яйцо Горрику в Арборстоун."
"A worn plush doll with a single gem on its head. A child surely would be looking for this.,
This item has no use outside of a collection.","Потертая плюшевая кукла с единственным самоцветом на голове. Ребенок наверняка ищет её.,
Этот предмет не имеет применения вне коллекции."
"Acquired from Ward Trader Sampaguita in Bava Nisos.
This item is used to craft or purchase Slumbering Lightborne weapons, which she sells crafting recipes or assistance for.

<c=@flavor>A faint glow emits from this spark.</c>","Получено у торговца стражи Сампагиты в Бава-Нисос.
Этот предмет используется для создания или покупки дремлющего светорождённого оружия — она продаёт рецепты и помогает с изготовлением.

<c=@flavor>От этой искры исходит слабое свечение.</c>"
"Acquired occasionally from events in Starlit Weald.
Trade to alliance field quartermasters in Castora for a pair of Extremis Gloves.","Иногда выпадает за события в Starlit Weald.
Обменяйте у полевых интендантов альянса в Касторе на перчатки «Экстремис»."
"Acquired occasionally from obscured chests in Starlit Weald.
Trade to alliance field quartermasters in Castora for an Extremis Hood.","Иногда выпадает из скрытых сундуков в Starlit Weald.
Обменяйте у полевых интендантов альянса в Касторе на капюшон «Экстремис»."
"Activate this to unlock the raptor mount. 

With access to Guild Wars 2: Path of Fire, you can improve your raptor abilities.","Активируйте это, чтобы получить возможность использовать раптора в качестве ездового животного.

С дополнением Guild Wars 2: Путь Огня вы сможете улучшить способности своего раптора."
"Activate your profession mechanic skills %num2% times.

<c=@reminder>Profession mechanic skills appear above your weapon skills, and they have unique effects depending on your character's profession.</c>","Активируйте навыки вашей профессии %num2% раз.

<c=@reminder>Навыки профессии отображаются над вашими боевыми навыками и обладают уникальными эффектами в зависимости от выбранной вами профессии.</c>"
An der Tiefland-Küste durch den Abschluss aller Orte auf der Karte verdient. Weitere Exemplare können bei Händlern für Ansehen-Herzen an der Tiefland-Küste erworben werden.,Заработано на побережье Низменностей за завершение всех локаций на карте. Дополнительные экземпляры можно приобрести у торговцев за очки репутации на побережье Низменностей.
"Assaillant[f:""Assaillante""]","Нападающий[f:""Нападающая""]"
"At Wizard's Ascent, correctly prepare 45 ingredients for Alchemist Briella.

If you have the Knowing Is Half the Battle achievement, progress is doubled for successful ingredient preparations.","В Визардовом Подъёме правильно подготовьте 45 ингредиентов для алхимика Бриеллы.

Если у вас есть достижение «Знание — половина победы», прогресс за успешное приготовление ингредиентов увеличивается вдвое."
"Become one with the Mists and gain the following:,
• The ""Fractal Prodigy"" title,
• 5 agony resistance, 1%% increased outgoing damage
• 1 additional fractal encryption and bag of fractal relics from the final chest in every fractal,• 1 дополнительный фрактальный шифр и мешок фрактальных реликвий из последнего сундука в каждом фрактале
Level 2 of 4—Effects stack with previous level.","Станьте единым с Туманным Пределом и получите следующее:,
• Титул «Фрактальный вундеркинд»,
• 5 сопротивления агонии, 1%% увеличенного исходящего урона
• 1 дополнительный фрактальный шифр и мешок фрактальных реликвий из последнего сундука в каждом фрактале,• 1 дополнительный фрактальный шифр и мешок фрактальных реликвий из последнего сундука в каждом фрактале
Уровень 2 из 4 — эффекты суммируются с предыдущим уровнем."
"Bind %num2% Core Set 1 relics by crafting them or purchasing them from the Trading Post.
Note: Relics from the Level-80 Boost will not count toward progress.","Привяжите %num2% предмета из набора «Ядро 1», создав их или купив в торговом центре.
Примечание: предметы, полученные при использовании бонуса для повышения до 80 уровня, не будут учитываться при выполнении задания."
"Blitzstäbe aufstellen, um die Energie von Decima fernzuhalten","Установить молниеотводы, чтобы удерживать энергию Децимы"
Branded population remaining:,Осталось клеймёных:
Bringt alle gesammelten Informationen zur Bibliothek der Abtei.,Принесите всю собранную информацию в библиотеку аббатства.
"Call down an ice storm on the targeted area. The number of final ice shards are increased for each stack of Water Arrow.
<c=@reminder>Damage is reduced per target each time foes are struck by this skill.</c>","Обрушьте на выбранную область ледяной шторм. Количество финальных ледяных осколков увеличивается с каждым применением умения «Водная стрела».
<c=@reminder>Урон по каждой цели уменьшается при каждом попадании этим умением.</c>"
"Can be attained from the boneskinner in the Raven Sanctum.
Trade to Berghild in Eye of the North for shoulder armor.","Достаётся с костедёра в Святилище Ворона.
Обменяйте у Бергильд в Оке Севера на наплечники."
"Can contain ancient or elder wood logs.
Purchase from renown region karma merchants across the Crystal Desert with trade contracts.
Find trade contracts in chests and lost supplies.","Может содержать древние брёвна или брёвна из старой древесины.
Покупается за торговые контракты у торговцев кармы в регионах сердец почёта по всей Crystal Desert.
Торговые контракты находятся в сундуках и потерянных припасах."
"Can contain gossamer and silk scraps.,
Purchase from renown region karma merchants across the Crystal Desert with trade contracts.,Покупайте у торговцев кармы в регионах известности по всей Пустыне Хрусталя за торговые контракты.
Find trade contracts in chests and lost supplies.","Может содержать обрывки паутины и шелка.,
Покупайте у торговцев кармы в регионах известности по всей Пустыне Хрусталя за торговые контракты.,Покупайте у торговцев кармы в регионах известности по всей Пустыне Хрусталя за торговые контракты.
Ищите торговые контракты в сундуках и потерянных припасах."
"Can contain hard and seasoned wood logs.,
Purchase from renown region karma merchants across the Crystal Desert with trade contracts.,Покупайте у торговцев кармы в регионах известности по всей Пустыне Хрусталя за торговые контракты.
Find trade contracts in chests and lost supplies.","Может содержать бревна твердой и выдержанной древесины.,
Покупайте у торговцев кармы в регионах известности по всей Пустыне Хрусталя за торговые контракты.,
Ищите торговые контракты в сундуках и потерянных припасах."
"Can contain ingots of steel, platinum, copper, or silver.
Purchase from renown region karma merchants across the Crystal Desert with trade contracts.
Find trade contracts in chests and lost supplies.","Может содержать слитки стали, платины, меди или серебра.
Покупается за торговые контракты у торговцев кармы в регионах сердец почёта по всей Crystal Desert.
Торговые контракты находятся в сундуках и потерянных припасах."
"Can contain linen and cotton scraps.
Purchase from renown region karma merchants across the Crystal Desert with trade contracts.
Find trade contracts in chests and lost supplies.","Может содержать лоскуты льна и хлопка.
Покупается за торговые контракты у торговцев кармы в регионах сердец почёта по всей Crystal Desert.
Торговые контракты находятся в сундуках и потерянных припасах."
"Can contain rawhide or thin leather squares.,
Purchase from renown region karma merchants across the Crystal Desert with trade contracts.,Покупайте у торговцев кармы в регионах известности по всей Пустыне Хрусталя за торговые контракты.
Find trade contracts in chests and lost supplies.","Может содержать кусочки сыромятной или тонкой кожи.,
Покупайте у торговцев кармы в регионах известности по всей Пустыне Хрусталя за торговые контракты.,
Находите торговые контракты в сундуках и потерянных припасах."
"Can contain venom sacs, fangs, or scales of any value.
Purchase from renown region karma merchants across the Crystal Desert with trade contracts.
Find trade contracts in chests and lost supplies.","Может содержать ядовитые железы, клыки или чешую любой ценности.
Покупается за торговые контракты у торговцев кармы в регионах сердец почёта по всей Crystal Desert.
Торговые контракты находятся в сундуках и потерянных припасах."
"Can contain vials of blood, bone, or claws.
Purchase from renown region karma merchants across the Crystal Desert with trade contracts.
Find trade contracts in chests and lost supplies.","Может содержать склянки крови, кости или когти.
Покупается за торговые контракты у торговцев кармы в регионах сердец почёта по всей Crystal Desert.
Торговые контракты находятся в сундуках и потерянных припасах."
"Cantha has some...fascinating musical genres. What was it called again? Jade-pop? Can-pop? The music is catchy, but the fans are of an incalculable intensity. 
—Chief Melodist Flac","В Канте есть несколько… весьма интересных музыкальных жанров. Как же он назывался? «Джейд-поп»? Или «Кан-поп»? Музыка довольно запоминающаяся, но фанаты просто невообразимо преданные.
—Вождь-мелодист Флак"
"Canthan talisman that exclusively contains End of Dragons attribute combos.
<c=@flavor>Usage of enchanted jade has grown popular in the Mists.</c>","Кантанский талисман только с наборами характеристик из «Конца драконов».
<c=@flavor>В Туманах вошёл в моду зачарованный нефрит.</c>"
"Cap wanted me to make sure you got a little commendation for your work here. Everything is ship-shape thanks to you, and I'm sure our four-hoofed friends will appreciate the fine work you did. You're always welcome among the Companions.

—Marden","Cap хотел, чтобы я убедился, что вы получили небольшую награду за свою работу здесь. Благодаря вам всё в полном порядке, и я уверен, что наши четвероногие друзья оценят отличную работу, которую вы проделали. Вы всегда желанный гость среди Компаньонов.

—Marden"
Caudecus hielt bei den Treppen im Schwärenden Becken an.,Кодекус остановился у лестницы в Гноящемся Бассейне.
Caudecus' Reise begann in den Marschen im Südosten.,Путешествие Кодекуса началось в болотах на юго-востоке.
"Collect Vexa's Golem Diagnostic Reader from her lab hidden in Fireheart Rise. Interact with the remains of Old Tom in the Uncategorized fractal to analyze them.
This item only has value as part of a collection.","Соберите диагностический считыватель големов Вексы из её лаборатории, спрятанной на Fireheart Rise. Взаимодействуйте с останками Старого Тома в фрактале «Без категории», чтобы проанализировать их.
Этот предмет имеет ценность только как часть коллекции."
"Combine 25 Tales of Adventure, a Gift of Bones
This item is acquired from the Klobjarne Geirr: Raid or Convergence Victories achievement.","Скомбинируйте 25 Сказаний о приключениях, Gift of Bones
Этот предмет получен за достижение «Klobjarne Geirr: Победы в рейдах или конвергенциях»."
"Combine 6 Deldrimor Steel Spear Heads, 6 Large Spiritwood Hafts, 6 Vision Crystals, and a Memory of Bearkin's Adversaries to create Nyr Hrammr.

This item is acquired from the achievement ""Klobjarne Geirr: World Boss or Meta-Event Completions.""","Объедините 6 наконечников копий из делдриморской стали, 6 больших древок из духодрева, 6 Кристаллов видений и Память о противниках медвежьего народа, чтобы создать Нюр Храммр.

Этот предмет получается за достижение «Klobjarne Geirr: завершение мировых боссов или метасобытий»."
