english,translate
"+150 Fishing Power
+20 Vitality
+10%% Karma
+5%% All Experience Gained
+20%% Magic Find
+20%% Gold Find
+10%% WXP Gained","+150 к силе рыбалки
+20 к жизненной силе
+10%% кармы
+5%% ко всему получаемому опыту
+20%% шанса найти магические предметы
+20%% шанса найти золото
+10%% опыта мира"
"66%% Chance to Steal Life on Critical Hit
+20 Power
+10%% Karma
+5%% All Experience Gained
+20%% Magic Find
+20%% Gold Find
+10%% WXP Gained","66%% шанс украсть здоровье при критическом ударе
+20 силы
+10%% кармы
+5%% ко всему получаемому опыту
+20%% к шансу найти магические предметы
+20%% к шансу найти золото
+10%% к получаемому количеству очков опыта"
"66%% Chance to Steal Life on Critical Hit
+30 Power
+10%% Karma
+5%% All Experience Gained
+20%% Magic Find
+20%% Gold Find
+10%% WXP Gained","66%% шанс украсть здоровье при критическом ударе
+30 силы
+10%% кармы
+5%% ко всему получаемому опыту
+20%% к шансу получения магических предметов
+20%% к шансу найти золото
+10%% очков опыта"
"<c=@flavor>This weapon is used to craft the legendary longbow Kudzu.,
Combine this weapon in the Mystic Forge with:,Соедините это оружие в Мистической кузнице с:
• 1 Gift of Kudzu,
• 1 Gift of Mastery,
• 1 Gift of Fortune</c>","<c=@flavor>Это оружие используется для создания легендарного длинного лука Кудзу.
Соедините это оружие в Мистической кузнице с:
• 1 Дар Кудзу,
• 1 Дар мастерства,
• 1 Дар удачи</c>"
Arrow,Стрела
"Can be used in crafting or traded with vendors in Grothmar Valley.

<c=@Flavor>Grown over devourer nests, these peppers are particularly piquant.</c>","Годится для ремесла или обмена у торговцев в Долине Гротмар.

<c=@Flavor>Выросшие над гнёздами пожирателей, эти перцы особенно остры.</c>"
"Double-click to plant a Cultivated Seed in this pot.,
<c=@flavor>A pot so infused with energy,' it''s sure to germinate a more powerful seedling.</c>'","Дважды щёлкните, чтобы посадить возделанное семя в этот горшок.,
<c=@flavor>Горшок, настолько пропитанный энергией, что обязательно прорастит более сильный саженец.</c>'"
Entrada forzada,Принудительный вход
Erfordert zum Kauf die Handwerks- und Heimstatt-Erweiterung für Kunsthandwerker-Lehrlinge.,Для покупки требуется расширение «Ремесло и жилище» для учеников ремесленников.
"Gain Concentration Equal to 2%% of Your Precision
+10%% Experience from Kills","Концентрация, равная 2%% вашей Точности
+10%% опыта за убийства"
"Gain Health Every Second
+60 Vitality","Восстановление здоровья каждую секунду
+60 к Живучести"
"Gain bonus rewards when completing events inside completed Castoran renown heart areas. 

Castoran champions, meta-events, and world boss events award a bonus chest.

(Bonus reward daily limit: 20)","Даёт дополнительные награды за события в пределах завершённых касторских областей сердец славы. Касторские

чемпионы, мета-события и события с мировыми боссами дают дополнительный сундук.

(Дневной предел дополнительных наград: 20)"
"Grants 10 agony resistance. 
<c=@reminder>With Fractal Attunement Mastery, this item grants an additional 5 agony resistance.</c>","Дарует 10 сопротивления агонии. 
<c=@reminder>С умением «Фрактальная гармония» этот предмет дарует дополнительные 5 сопротивления агонии.</c>"
"Greetings, Wayfinder,

You departed during a Convergence with participation remaining, so please find enclosed some of the rewards you missed. Thank you for your aid.","Приветствую, Путеводная Звезда,

Ты покинул Схождение, когда участие ещё продолжалось, поэтому прилагаю часть наград, которых ты не получил. Благодарим за помощь."
