english,translate
Precise Bronze Shield,Точный бронзовый щит
Precise Bronze Spear,Точное бронзовое копьё
Precise Bronze Sword,Точный бронзовый меч
Precise Chain Boots,Точные кольчужные сапоги
Precise Chain Coat,Точная кольчужная куртка
Precise Chain Gauntlets,Точные кольчужные латные перчатки
Precise Chain Helm,Точный кольчужный шлем
Precise Chain Legs,Точные кольчужные поножи
Precise Chain Pauldrons,Точные кольчужные наплечники
Precise Country Boots,Точные деревенские сапоги
Precise Country Coat,Точная деревенская куртка
Precise Country Gloves,Точные деревенские перчатки
Precise Country Mantle,Точная деревенская накидка
Precise Country Mask,Точная деревенская маска
Precise Country Pants,Точные деревенские штаны
Precise Embroidered Coat,Точная расшитая куртка
Precise Embroidered Jute Insignia,Точная расшитая джутовая инсигния
Precise Embroidered Mantle,Точная расшитая накидка
Precise Embroidered Mask,Точная расшитая маска
Precise Embroidered Pants,Точные расшитые штаны
Precise Embroidered Sandals,Точные расшитые сандалии
Precise Embroidered Wristguards,Точные расшитые наручи
Precise Green Inscription,Точная зелёная гравировка
Precise Green Wood Focus,Точный фокус из зелёной древесины
Precise Green Wood Harpoon Gun,Точное гарпунное ружьё из зелёной древесины
Precise Green Wood Longbow,Точный длинный лук из зелёной древесины
Precise Green Wood Scepter,Точный скипетр из зелёной древесины
Precise Green Wood Short Bow,Точный короткий лук из зелёной древесины
Precise Green Wood Staff,Точный посох из зелёной древесины
Precise Green Wood Torch,Точный факел из зелёной древесины
Precise Green Wood Trident,Точный трезубец из зелёной древесины
Precise Green Wood Warhorn,Точный боевой рог из зелёной древесины
Precise Infusion,Точная инфузия
Precise Iron Axe,Точный железный топор
Precise Iron Dagger,Точный железный кинжал
Precise Iron Greatsword,Точный железный двуручный меч
Precise Iron Hammer,Точный железный молот
Precise Iron Mace,Точная железная булава
Precise Iron Pistol,Точный железный пистолет
Precise Iron Rifle,Точное железное ружьё
Precise Iron Shield,Точный железный щит
Precise Iron Spear,Точное железное копьё
Precise Iron Sword,Точный железный меч
Precise Jute Insignia,Точная джутовая инсигния
Precise Magician Mantle of the Lich,Точная мантия мага лича
Precise Pistol Barrel,Точный ствол пистолета
Precise Pistol Forging Tools,Точные инструменты ковки пистолетов
Precise Ring,Точное кольцо
Precise Seeker Boots,Точные сапоги искателя
Precise Seeker Coat,Точная куртка искателя
Precise Seeker Gloves,Точные перчатки искателя
Precise Seeker Mask,Точная маска искателя
Precise Seeker Pants,Точные штаны искателя
Precise Seeker Shoulders,Точные наплечники искателя
Precise Short-Bow Woodworking Tools,Точные столярные инструменты для коротких луков
Precise Soft Wood Focus,Точный фокус из мягкой древесины
Precise Soft Wood Longbow,Точный длинный лук из мягкой древесины
Precise Soft Wood Scepter,Точный скипетр из мягкой древесины
Precise Soft Wood Short Bow,Точный короткий лук из мягкой древесины
Precise Soft Wood Staff,Точный посох из мягкой древесины
Precise Soft Wood Torch,Точный факел из мягкой древесины
Precise Soft Wood Warhorn,Точный боевой рог из мягкой древесины
Precise Staff Woodworking Tools,Точные столярные инструменты для посохов
Precise Steam Speargun,Точное паровое гарпунное ружьё
Precise Studded Boots,Точные шипованные сапоги
Precise Studded Coat,Точная шипованная куртка
Precise Studded Gloves,Точные шипованные перчатки
Precise Studded Pants,Точные шипованные штаны
Precise Swindler Mask,Точная маска мошенника
Precise Swindler Pauldrons,Точные наплечники мошенника
Precise Swindler Pauldrons of the Flame Legion,Точные наплечники мошенника Легиона Пламени
Precise Worn Chain Coat,Точная поношенная кольчужная куртка
Precise Worn Chain Gauntlets,Точные поношенные кольчужные латные перчатки
Precise Worn Chain Greaves,Точные поношенные кольчужные наголенники
Precise Worn Chain Helm,Точный поношенный кольчужный шлем
Precise Worn Chain Legs,Точные поношенные кольчужные поножи
Precise Worn Chain Pauldrons,Точные поношенные кольчужные наплечники
Precise Worn Scale Pauldrons of Rata Sum,Точные поношенные чешуйчатые наплечники Рата-Сум
Precise WvW Infusion,Точная инфузия WvW
Precision Blocks,Точные блоки
Predation Dye,Краска «Хищник»
Premium Book Cover,Премиальная обложка для книги
Prepare for the Worst,Приготовиться к худшему
Presence of the Keep Improvement,Присутствие улучшения крепости
Preserved Bat Wing,Консервированное крыло летучей мыши
Preserved Eidolon Hide,Выделанная шкура эйдолона
Preserved Lucky Four-Leaf Clover,Сохранившийся счастливый четырехлистный клевер
Preserved Queen Bee,Сохраненная королева пчел
Preserved Red Cap,Сохранившаяся красная шапочка
Preserved Red Iris,Сохранившийся красный ирис
Preserved Red Iris Flower,Сохранившийся красный цветок ириса
Press Button,Нажмите кнопку
Pressed Friendship Flower,Сплющенный цветок дружбы
Pretty but also an invasive weed.,"Красивый, но также инвазивный сорняк."
Pricklepatch Hollow,Колючая лощина
Pricklepatch Hollow Springer Treat,Лакомство для спрингера из Колючей лощины
Prickly Pear,Колючая груша
Prickly Pear Pie,Пирог с опунцией
Prickly Pear Stuffed Nopal,Фаршированный нопаль с опунцией
Prickly Spider Leg,Колючая нога паука
Pride Dye,Краска «Гордость»
Pride of Arms,Гордость оружия
Priest of Balthazar Loot Box,Сундук жреца Бальтазара
Priestess Card,Карта жрицы
Primal Cultivar,Первобытный культивар
Primal Maguuma Trout,Первобытная форель Магуумы
Primal Spirit Jackal Skin,Шкура духа предков для джекла
Primal Tiger Hood,Капюшон первобытного тигра
Primal Tiger Hood Box,Коробка с капюшоном первобытного тигра
Prime Salvaged Parts,Первичные восстановленные детали
Primed Raven,Заряженный ворон
Primer Package,Базовый комплект
Primeval Armor Chest,Сундук брони первобытных
Primeval Gauntlets,Первобытные наручи
Primeval Heavy Armor Skin,Облик тяжёлой брони «Первобытная»
Primeval Legplates,Первобытные поножи
Primeval Pauldrons,Первобытные наплечники
Primeval Runescroll,Свиток первобытных рун
Primeval Tome,Первобытный фолиант
Primeval Treasure Hoard,Сокровищница первобытных
Primeval Warboots,Первобытные боевые сапоги
Primeval Warhelm,Первобытный боевой шлем
Primeval Warplate,Первобытная боевая броня
Primitive Chestwraps,Примитивные обмотки для груди
Primitive Mantle,Примитивное оплечье
Primitive Pike,Примитивная пика
Primitive Pillar Skin,Облик «Примитивный столб»
Primordial Leviathan Rib Cage,Ребро первобытного левиафана
Primordial Leviathan Rib Cage: Curved,Ребристая клетка первобытного левиафана: изогнутая
Primordial Leviathan Rib Cage: Left Curved,Реберная клетка примордиального левиафана: левая изогнутая
Primordial Leviathan Rib Cage: Right Curved,Реберная клетка первобытного левиафана: правая изогнутая
Primordial Slag,Примордиальный шлак
Primordus Dye Kit,Набор красок «Примордус»
Primordus Hologram Generator,Генератор голограмм Примордуса
Primordus Left Eye Infusion,Инфузия левого глаза Примордуса
Primordus Minion Loot Box,Сундук с добычей прислужника Примордия
Primordus Right Eye Infusion,Инфузия правого глаза Прамордуса
Primordus's Argument Skin,«Облик: Аргумент Примордия»
Primordus's Bite Skin,Облик «Укус Примордуса»
Primordus's Breath Skin,«Облик: Дыхание Примордуса»
Primordus's Claw Skin,Облик когтя Примордуса
Primordus's Fang Skin,Облик клыка Примордуса
Primordus's Flight Skin,Облик полёта Примордуса
Primordus's Gaze Skin,Облик «Взгляд Примордуса»
Primordus's Insight Skin,Облик «Прозрение Примордуса»
Primordus's Persuasion Skin,Облик убеждения Примордуса
Primordus's Rending Skin,Облик «Рассечение Примордуса»
Primordus's Scale Skin,Чешуйчатая шкура Примордуса
Primordus's Tail Skin,Облик хвоста Примордуса
Primordus's Voice Skin,Облик голоса Примордия
Primordus's Weight Skin,Облик веса Примордиуса
Primordus's Wing Skin,«Облик крыла Примордуса»
Primordus's Wisdom Skin,Облик «Мудрость Примордуса»
Primrose Dye,Краска «Примула»
Prince Rurik's Vanguard Cape,Плащ авангарда принца Рурика
"Prince Rurik: Heir Today, Gone Tomorrow","Принц Рурик: Наследник сегодня, пропавший завтра"
Prince's Praise,Похвала Принца
Princess Doll Frame,Рама куклы-принцессы
Princess Doll Tonic,Тоник куклы принцессы
Princess Miya's Dress,«Платье принцессы Мии»
Princess Miya's Tiara,«Тиара принцессы Мии»
Princess Miya's Wig,Парик принцессы Мии
Princess Wand,Жезл Принцессы
Princess Wand Skin,Облик жезла принцессы
Printed Schematic,Печатная схема
Priory Arcanist Dotta in the north of Dostoev Sky Peak is breaking down this ore.,Арканистка Ордена Дотта на севере Пика Достоева перерабатывает эту руду.
Priory Archaeologist Roenn would be interested in any artifacts you find while out in the Elonian wilds.,"Археолог Ордена Роэнн заинтересуется любыми артефактами, которые вы найдёте в элонских пустошах."
Priory Axe,Топор Ордена
Priory Backplate,Наспинник Приората
Priory Beacon,Маяк Ордена
Priory Blade,Клинок Ордена
Priory Bulwark,Бастион Ордена
Priory Camp Stool,Табурет лагеря Приората
Priory Cornet,Корнет Ордена
Priory Edge,Кромка Приората
Priory Equipment Guide,Руководство по снаряжению Приората
Priory Explorer's Medal,Медаль исследователя Приората
Priory Explorer's Scepter,Скипетр исследователя Приората
Priory explorers have been searching for these.,Исследователи Приората ищут это.
Priory Field Guide to Dredge,Полевой справочник Приората по дреджам
Priory Field Guide to Munitions,Полевой справочник Приората по боеприпасам
Priory Focus,Фокус Приората
Priory Granite Citadel History,История гранитной цитадели Приората
Priory Greatblade,Двуручный меч Приората
Priory Grymm Svaard,Гримм Свард Приората
Priory Hammer,Молот Приората
Priory Harpoon Gun,Гарпунное ружьё Приората
Priory Honing Crystal,Кристалл заточки Приората
Priory Key,Ключ Приората
Priory Longbow,Длинный лук Приората
Priory Mace,Булава Приората
Priory Maintenance Oil,Масло технического обслуживания Приората
Priory Pistol,Пистолет Приората
Priory Pride,Гордость Приората
Priory Rations,Приоратские пайки
Priory Rifle,Ружьё Приората
Priory Safety,Безопасность Приората
Priory Scepter,Скипетр Приората
Priory Short Bow,Короткий лук Приората
Priory Sorrow's Embrace History,История «Объятия скорби» Приората
Priory Sorrows Embrace History,История «Объятия скорби» Приората
Priory Staff,Посох Приората
Priory Truth,Истина Приората
Priory Wilderness Survival Guide,Путеводитель по выживанию в дикой природе Приората
Priory's Historical Axe,Исторический топор Приората
Priory's Historical Boots,Исторические сапоги Приората
Priory's Historical Breastplate,Исторический нагрудник Приората
Priory's Historical Cowl,Исторический капюшон Приората
Priory's Historical Dagger,Исторический кинжал Приората
Priory's Historical Focus,Исторический фокус Приората
Priory's Historical Gauntlets,Исторические латные перчатки Приората
Priory's Historical Glaive,Историческая глефа Приората
Priory's Historical Gloves,Исторические перчатки Приората
Priory's Historical Greatsword,Исторический двуручный меч Приората
Priory's Historical Greaves,Исторические наголенники Приората
Priory's Historical Hammer,Исторический молот Приората
Priory's Historical Harpoon,Исторический гарпун Приората
Priory's Historical Helmet,Исторический шлем Приората
Priory's Historical Jerkin,Исторический колет Приората
Priory's Historical Leggings,Исторические поножи Приората
Priory's Historical Longbow,Исторический длинный лук Приората
Priory's Historical Mace,Историческая булава Приората
Priory's Historical Mantle,Историческая накидка Приората
Priory's Historical Mask,Историческая маска Приората
Priory's Historical Pants,Исторические штаны Приората
Priory's Historical Pauldrons,Исторические наплечники Приората
Priory's Historical Pistol,Исторический пистолет Приората
Priory's Historical Rifle,Историческое ружьё Приората
Priory's Historical Scepter,Исторический скипетр Приората
Priory's Historical Shield,Исторический щит Приората
Priory's Historical Shoes,Исторические туфли Приората
Priory's Historical Short Bow,Исторический короткий лук Приората
Priory's Historical Shoulderpads,Исторические наплечные пластины Приората
Priory's Historical Speargun,Историческое гарпунное ружьё Приората
Priory's Historical Staff,Исторический посох Приората
Priory's Historical Sword,Исторический меч Приората
Priory's Historical Tassets,Исторические набедренники Приората
Priory's Historical Torch,Исторический факел Приората
Priory's Historical Trident,Исторический трезубец Приората
Priory's Historical Vambraces,Исторические наручи Приората
Priory's Historical Vestments,Исторические одеяния Приората
Priory's Historical Warhorn,Исторический боевой рог Приората
Prismatic Champion's Regalia,Одеяние призматического чемпиона
Prismatic Dye,Краска «Призматический»
Prismatic Geode,Призматическая жеода
Prismatic Lodestone,Призматический магнитный камень
Prismatic Precursor Selection Box,Коробка выбора призматического предшественника
Prismatic Rocket,Призматическая ракета
Prismatic Soylent,Призматический сойлент
Prismatic Spear,Призматическое копьё
Prismaticite Clasp,Пряжка призматита
Prismaticite Crystal,Кристалл призматита
Prismaticite Home Instance Node,Узел призматита в домашнем экземпляре
Prismatium Ingot,Слиток призматия
Prison-Camp Chest,Сундук лагеря для заключённых
Prisoner's Contraband,Контрабанда заключённого
Pristine Ancient Krytan Dabloon,Древний крайтанский даблон высшего качества
Pristine Awakened Emblem,Безупречная эмблема Пробуждённых
Pristine Blood Ruby,Кровавый рубин высшего качества
Pristine Devourer Fang,Неповрежденный клык пожирателя
Pristine Dragon's Left Eye,«Нетронутый левый глаз дракона»
Pristine Dragon's Right Eye,Правое глаз девственного дракона
Pristine Fang of the Whisper,Нетронутый клык Шёпота
Pristine Feather,Нетронутое перо
Pristine Gold Ring,Неповрежденное золотое кольцо
Pristine Hot-Spring Water Sample,Неповрежденный образец воды горячего источника
Pristine Kurzick Relic,Нетронутая реликвия курциков
Pristine Mist Essence,Эссенция первозданного тумана
Pristine Mystic Jewel,Безупречный мистический самоцвет
Pristine Piece of Forged Armor,Нетронутый элемент кованой брони
Pristine Sand-Carved Cache,"Нетронутый тайник, вырезанный из песка"
Pristine Skree Harpy Feather,Безупречное перо гарпии-скри
Pristine Smoke Claw,Неповрежденный дымовой коготь
Pristine Snowflake,Безупречная снежинка
Pristine Toxic Spore Sample,Образец нетронутой токсичной споры
Pristine White Mantle,Неповрежденная Белая Мантия
Pristine Wrapping,Нетронутая обёртка
Private Felix's Cloth Gloves,Тканые перчатки рядового Феликса
Private Felix's Gauntlets,Латные рукавицы рядового Феликса
Private Felix's Leather Gloves,Кожаные перчатки рядового Феликса
Private words not meant to be seen by you.,"Личные слова, не предназначенные для ваших глаз."
Privateer Axe Skin,Облик топора «Капер»
Privateer Boots,Сапоги капера
Privateer Boots of Dwayna,Пиратские сапоги Двайны
Privateer Boots of the Centaur,Сапоги капера кентавра
Privateer Boots of the Flame Legion,Сапоги капера Белой Мантии
Privateer Coat,Пальто капера
Privateer Dagger Skin,Облик кинжала «Капер»
Privateer Focus Skin,Облик фокусов «Капер»
Privateer Gloves,Перчатки капера
Privateer Greatsword Skin,Облик двуручного меча «Капер»
Privateer Hammer Skin,Облик молота «Капер»
Privateer Hat,Шляпа капера
Privateer Longbow Skin,Облик длинного лука «Капер»
Privateer Mace Skin,Облик булавы «Капер»
Privateer Pants,Штаны капера
Privateer Pistol Skin,Облик пистолета «Капер»
Privateer Rifle Skin,Облик ружья капера
Privateer Scepter Skin,Облик скипетра капера
Privateer Shield Skin,Облик щита капера
Privateer Short Bow Skin,Облик короткого лука «Капер»
Privateer Shoulders,Наплечники капера
Privateer Staff Skin,Облик посоха «Капер»
Privateer Sword Skin,Облик меча «Капер»
Privateer Torch Skin,Облик факела «Капер»
Privateer Warhorn Skin,Облик рога «Капер»
Prize of the Boneskinner Skin,Облик трофея кожевника
Prize Winning Horn,Призовой рог
Problem Solver,Решатель проблем
Processing-Line Control Bracer Skin,Облик напульсников «Технологическая линия»
Processional Flame,Процессионное пламя
Proclamation of Palawa Joko's Defeat,Прокламация о поражении Палавы Джоко
"Proclamations on the Risen Threat, 1730 CC","Провозглашения об угрозе восставших, 1730 г. до К.Э."
Profane Armor Chest,Сундук доспехов «Нечестивый»
Profane Gloves,Нечестивые перчатки
Profane Greatcoat,Длиннополое пальто нечестивца
Profane Light Armor Skin,Облик лёгкой брони «Нечестивый»
Profane Mantle,Нечестивый покров
Profane Masque,Маска «Профан»
Profane Pants,Нечестивые штаны
Profane Shoes,Нечестивая обувь
Progeny Gauntlets,Наручи потомства
Progeny Gloves,Перчатки потомства
Progeny Leather Gloves,Кожаные перчатки потомства
PROGENY TIP: A BEE DOG can reach the secret tree in the HUB!,СОВЕТ ПОТОМКУ: ПЧЕЛОПЁС может добраться до секретного дерева В ЦЕНТРЕ!
PROGENY TIP: Buried at the top of the tree at the very beginning!,СОВЕТ ПОТОМКУ: Закопано на вершине дерева в самом начале!
PROGENY TIP: Buried next to a RACING CACTUS!,СОВЕТ ПОТОМКУ: Закопано рядом с БЕГОВЫМ КАКТУСОМ!
PROGENY TIP: Climb down carefully in the HUB!,СОВЕТ ПОТОМКУ: Аккуратно спускайтесь В ЦЕНТРЕ!
PROGENY TIP: Rescue the trespasser frozen by a YETI!,"СОВЕТ ПОТОМКУ: Спаси нарушителя, замороженного ЙЕТИ!"
PROGENY TIP: The PRIZE DISPENSER is set up at the end of the RAPIDS!,СОВЕТ ПОТОМКУ: ПРИЗОВОЙ АППАРАТ установлен в конце ПОРОГОВ!
PROGENY TIP: Use a SECRET SONG to reach the picnic in the CLIFFS!,"СОВЕТ ПОТОМКУ: Используй ТАЙНУЮ ПЕСНЮ, чтобы добраться до пикника В УТЁСАХ!"
PROGENY TIP: Use the BOMB to find the SECRET CANNON at the start of the KINGDOM OF FUNGUS!,"СОВЕТ ПОТОМКУ: Используй БОМБУ, чтобы найти СЕКРЕТНУЮ ПУШКУ в начале КОРОЛЕВСТВА ГРИБОВ!"
PROGENY TIP: Use the BOMB to open a cave in the SUNNY GLADE!,"СОВЕТ ПОТОМКА: Используйте БОМБУ, чтобы открыть пещеру в СОЛНЕЧНОЙ РОЩЕ!"
PROGENY TIP: You can drain the IMPROPER WATER using the BOMB!,СОВЕТ ПОТОМКА: Вы можете осушить НЕПРИГОДНУЮ ВОДУ с помощью БОМБЫ!
Promise Ring,Кольцо обещания
Proof of a Kill,«Доказательство убийства»
Proof of Bask's Theorem,Доказательство теоремы Баска
Proof of Bastion of the Penitent Completion,Свидетельство о завершении «Бастиона кающихся»
Proof of Dekin's Rational Cuts,«Доказательство рациональных разрезов Декина»
Proof of Drik's Transformations,Доказательство превращений Дрика
Proof of Gali's Proportional Traversal,Доказательство пропорционального перемещения Гали
Proof of Gott's Integral Derivation,«Доказательство интегрального вывода Готта»
Proof of Hall of Chains Completion,Свидетельство о завершении «Зала цепей»
Proof of Legend,Доказательство легенды
Proof of Mount Balrior Completion,Свидетельство о завершении «Горы Балриор»
Proof of Mythwright Gambit Completion,Свидетельство о завершении «Гамбита Мифрайта»
