english,translate
A recipe to make Trailblazer's Draconic Legs.,
A recipe to make Trailblazer's Draconic Pauldrons.,
A recipe to make Trailblazer's Emblazoned Boots.,
A recipe to make Trailblazer's Emblazoned Gloves.,
A recipe to make Trailblazer's Emblazoned Pants.,
A recipe to make Trailblazer's Emblazoned Shoulders.,
A recipe to make Trailblazer's Exalted Boots.,
A recipe to make Trailblazer's Exalted Gloves.,
A recipe to make Trailblazer's Exalted Pants.,
A recipe to make Triktiki Omelets,Рецепт создания омлетов Триктики
A recipe to make Vigilant Draconic Boots.,Рецепт создания бдительных драконьих сапог.
A recipe to make Vigilant Draconic Gauntlets.,Рецепт создания бдительных драконьих рукавиц.
A recipe to make Vigilant Draconic Legs.,Рецепт: бдительные драконьи поножи.
A recipe to make Vigilant Draconic Pauldrons.,Рецепт для создания Бдительных драконьих наплечников.
A recipe to make Vigilant Emblazoned Boots.,Рецепт создания бдительных эмблемных сапог.
A recipe to make Vigilant Emblazoned Gloves.,Рецепт для создания бдительных гербовых перчаток.
A recipe to make Vigilant Emblazoned Pants.,Рецепт создания бдительных эмблемных штанов.
A recipe to make Vigilant Emblazoned Shoulders.,Рецепт создания бдительных эмблемных наплечников.
A recipe to make Vigilant Exalted Boots.,Рецепт создания бдительных возвышенных сапог.
A recipe to make Vigilant Exalted Gloves.,Рецепт бдительных перчаток из возвышенной ткани.
A recipe to make Vigilant Exalted Pants.,Рецепт создания бдительных штанов возвышенных.
A recipe to make Viper's Draconic Boots.,Рецепт создания драконьих сапог Гадюки.
A recipe to make Viper's Draconic Gauntlets.,Рецепт изготовления драконьих латных перчаток Кочевника.
A recipe to make Viper's Draconic Legs.,Рецепт создания драконьих поножей Гадюки.
A recipe to make Viper's Draconic Pauldrons.,Рецепт изготовления драконьих наплечников Кочевника.
A recipe to make Viper's Emblazoned Boots.,Рецепт изготовления гербовых штанов Кочевника.
A recipe to make Viper's Emblazoned Gloves.,Рецепт изготовления гербовых перчаток Кочевника.
A recipe to make Viper's Emblazoned Pants.,Рецепт создания Гадючьих эмалированных штанов.
A recipe to make Viper's Emblazoned Shoulders.,Рецепт изготовления гербовых наплечников Кочевника.
A recipe to make Viper's Exalted Boots.,Рецепт создания Гадючьих возвышенных сапог.
A recipe to make Viper's Exalted Gloves.,Рецепт создания Гадючьих возвышенных перчаток.
A recipe to make Viper's Exalted Pants.,Рецепт создания Гадючьих возвышенных штанов.
A recipe to make Wanderer's Draconic Boots.,
A recipe to make Wanderer's Draconic Gauntlets.,
A recipe to make Wanderer's Draconic Legs.,
A recipe to make Wanderer's Draconic Pauldrons.,
A recipe to make Wanderer's Emblazoned Boots.,
A recipe to make Wanderer's Emblazoned Gloves.,
A recipe to make Wanderer's Emblazoned Pants.,
A recipe to make Wanderer's Emblazoned Shoulders.,
A recipe to make Wanderer's Exalted Boots.,
A recipe to make Wanderer's Exalted Gloves.,
A recipe to make Wanderer's Exalted Pants.,
A recipe to make Zealot's Draconic Boots.,
A recipe to make Zealot's Draconic Gauntlets.,Рецепт создания Фанатичных драконьих рукавиц.
A recipe to make Zealot's Draconic Legs.,Рецепт изготовления драконьей куртки Фанатика.
A recipe to make Zealot's Draconic Pauldrons.,Рецепт создания Фанатичных драконьих наплечников.
A recipe to make Zealot's Emblazoned Boots.,
A recipe to make Zealot's Emblazoned Gloves.,Рецепт изготовления гербовой куртки Фанатика.
A recipe to make Zealot's Emblazoned Pants.,Рецепт создания Фанатичных эмалированных штанов.
A recipe to make Zealot's Emblazoned Shoulders.,Рецепт создания Фанатичных эмалированных наплечников.
A recipe to make Zealot's Exalted Boots,Рецепт создания сапог «Ревностные возвышенные»
A recipe to make Zealot's Exalted Gloves.,Рецепт создания перчаток «Ревностные возвышенные».
A recipe to make Zealot's Exalted Pants,Рецепт создания штанов «Ревностные возвышенные»
A recipe to refine Watchwork Sprockets.,Рецепт переработки Часовых шестеренок.
A recipe to smelt Prismatium Ingots.,Рецепт выплавки Призматиевых слитков.
A recipe to turn yourself into an Ascalon Ghost,Рецепт превращения себя в призрака Аскалона.
"A recollection of the afterlife and deeds of Mad King Thorn, as told by his loyal subjects and friends. Contains an authoritative account of King Oswald Thorn's unlife, from gruesome death to enlightened rule of the Mad Realm.
<c=@flavor>Your Mad King says: Wear this at all times.</c>",
"A recollection of the life and deeds of Mad King Thorn, as recounted by his loyal subjects and friends. The volume ends with the coronation of King Thorn. It seems incomplete.
<c=@flavor>—Stories yet untold despite the tower that marks a spooky site. When humans flee their home of old, where they settle cannot be told.</c>",
"A recollection of the life and deeds of Mad King Thorn, as told by his loyal subjects and friends. Contains a complete account of King Oswald Thorn's life, from boyhood to gruesome death.
<c=@flavor>""Even after death, I shall return! And all my enemies will burn, burn, BURN!""
—Mad King Thorn</c>",
"A record of your exploits as a hunter.
Double-click to read.","Запись о ваших подвигах в качестве охотника.
Дважды щелкните, чтобы прочитать."
"A record of your exploits as a naturalist.
Double-click to read.","Запись о ваших подвигах в качестве натуралиста.
Дважды щелкните, чтобы прочитать."
A red stone that's warm to the touch. Scholar Inka is using these for her experiments.,
"A relic from a time when heket were common throughout Kourna.

This item only has value as part of a collection.",
"A Restored Boreal shield, crafted using materials found in Bjora Marches.","Восстановленный бореальный щит, созданный из материалов, найденных в Бьорских Марках."
"A Restored Boreal weapon, crafted using materials found in Bjora Marches.","Восстановленное бореальное оружие, созданное из материалов, найденных в Бьорских Марках."
A reward bag for a good deed.,Сумка с наградой за доброе дело.
A reward for finding all of Shadi's missing Sunspear equipment.,
A rifle roughly forged from Brand crystal using techniques learned from Forge Master Hilina.,
A rifle skillfully forged from Brand crystal using techniques learned from Forge Master Hilina.,
"A ritual vial used to convert kodan into boneskinners. Combine this with a Boneskinner Weapon, Amalgamated Draconic Lodestones, and Gifts of Bones in the Mystic Forge to unleash their full potential.",
"A rod that can't bend will break. There's probably some wisdom in there, or at least physics.","Стержень, который не гнется, сломается. Возможно, в этом есть мудрость, или хотя бы физика."
A rough hunk of amber from the Altrumm Mines. This requires processing and polishing before it is of any use to anyone.,"Грубый кусок янтаря из шахт Альтрумма. Его необходимо обработать и отполировать, прежде чем он станет кому-то полезен."
A roughly made book. Bring this to an expert to create a journal.,"Грубо сделанная книга. Отнесите это эксперту, чтобы создать дневник."
A Sad Discovery,Печальное открытие
"A saltwater baitfish perfect for catching big game fish, most commonly found in open water at dusk or dawn.","Солоноватоводная приманка, идеально подходящая для ловли крупной рыбы, чаще всего встречается в открытой воде на закате или рассвете."
A sample of sulfuric sands that the djinn will find useful for their research.,"Образец сернистых песков, который джинны найдут полезным для своих исследований."
A scale fragment of Jormag assembled from scale splinters. Requires a source of strong magic to purify.,"Фрагмент чешуи Джормага, собранный из осколков чешуи. Требуется источник сильной магии для очищения."
A scale fragment of Kralkatorrik assembled from scale splinters. Requires a source of strong magic to purify.,"Фрагмент чешуи Кралкаторрика, собранный из осколков чешуи. Требуется источник сильной магии для очищения."
A scale fragment of Mordremoth assembled from scale splinters. Requires a source of strong magic to purify.,"Фрагмент чешуи Мордремота, собранный из осколков чешуи. Требуется источник сильной магии для очищения."
A scale fragment of Primordus assembled from scale splinters. Requires a source of strong magic to purify.,"Фрагмент чешуи Примордуса, собранный из осколков чешуи. Требуется источник сильной магии для очищения."
A scale fragment of Soo-Won assembled from scale splinters. Requires a source of strong magic to purify.,"Фрагмент чешуи Су-Вон, собранный из осколков чешуи. Требуется источник сильной магии для очищения."
A scale fragment of Zhaitan assembled from scale splinters. Requires a source of strong magic to purify.,"Фрагмент чешуи Жаитана, собранный из осколков чешуи. Требуется источник сильной магии для очищения."
A scale splinter of Jormag recovered from their remains. Double-click to combine 4 splinters into a fragment. Requires a source of strong magic to purify once combined.,"Осколок чешуи Джормага, извлеченный из его останков. Дважды щелкните, чтобы объединить 4 осколка во фрагмент. После объединения требуется источник сильной магии для очищения."
A scale splinter of Kralkatorrik recovered from his remains. Double-click to combine 4 splinters into a fragment. Requires a source of strong magic to purify once combined.,"Осколок чешуи Кралкаторрика, найденный среди его останков. Дважды щёлкните, чтобы объединить 4 осколка во фрагмент. Требуется источник сильной магии для очищения после объединения."
A scale splinter of Mordremoth recovered from its remains. Double-click to combine 4 splinters into a fragment. Requires a source of strong magic to purify once combined.,"Осколок чешуи Мордремота, найденный среди его останков. Дважды щёлкните, чтобы объединить 4 осколка во фрагмент. Требуется источник сильной магии для очищения после объединения."
A scale splinter of Primordus recovered from his remains. Double-click to combine 4 splinters into a fragment. Requires a source of strong magic to purify once combined.,"Осколок чешуи Примордуса, найденный среди его останков. Дважды щёлкните, чтобы объединить 4 осколка во фрагмент. Требуется источник сильной магии для очищения после объединения."
A scale splinter of Soo-Won recovered from her remains. Double-click to combine 4 splinters into a fragment. Requires a source of strong magic to purify once combined.,"Осколок чешуи Су-Вон, найденный среди её останков. Дважды щёлкните, чтобы объединить 4 осколка во фрагмент. Требуется источник сильной магии для очищения после объединения."
A scale splinter of Zhaitan recovered from its remains. Double-click to combine 4 splinters into a fragment. Requires a source of strong magic to purify once combined.,"Осколок чешуи Жаитана, найденный среди его останков. Дважды щёлкните, чтобы объединить 4 осколка во фрагмент. Требуется источник сильной магии для очищения после объединения."
A scepter made from glass infused with Raven's essence.,"Скипетр, сделанный из стекла, пропитанного сущностью Ворона."
A scepter roughly forged from Brand crystal using techniques learned from Forge Master Hilina.,"Скипетр, грубо выкованный из кристалла Бренда с использованием техник, изученных у Кузнечного мастера Хилины."
A scepter skillfully forged from Brand crystal using techniques learned from Forge Master Hilina.,"Скипетр, искусно выкованный из кристалла Бренда с использованием техник, изученных у Кузнечного мастера Хилины."
A scepter wrought from the husk of a boneskinner.,"Скипетр, выкованный из оболочки костесдирателя."
"A script for a play written by celebrated director Abioye Bayu of the Lyssan Fools acting troupe.
<c=@Flavor>The Greatest Love Story Ever Told...about a Mime</c>
Renown Item",
A seal etched with forgotten glyphs. Follower Xunn at Scattered Remnants in Elon Riverlands is looking for them.,Печать с забытыми глифами. Последователь Ксунн у «Разбросанных остатков» в реке Элон ищет их.
"A secret letter for Aisha Jedgok, who is undercover among the ghosts of the Lair of the Forgotten.","Секретное письмо для Айши Джедгок, работающей под прикрытием среди призраков Логова Забытых."
"A secret letter for Aisha Jedgok, who is undercover among the ghosts of the Lair of the Forgotten.

Double-click to locate.",
"A secret letter for Nori Mahat, who is currently undercover in the village of Purity among local villagers.","Секретное письмо для Нори Махат, которая в настоящее время находится под прикрытием в деревне Чистоты среди местных жителей."
"A secret letter for Nori Mahat, who is currently undercover in the village of Purity among local villagers.

Double-click to locate.",
"A secret letter that should be brought to Ahel Nakat, who is undercover in the Ruination among the Order of Shadows.","Секретное письмо, которое следует доставить Ахел Накат, работающему под прикрытием в Руинации среди Ордена Теней."
"A secret letter that should be brought to Ahel Nakat, who is undercover in the Ruination among the Order of Shadows.

Double-click to locate.",
"A seemingly ancient item, though not much can be discerned from it. There are symbols across its surface... Perhaps someone who has studied Seers could help.","Казалось бы, древний предмет, хотя о нём мало что можно узнать. На его поверхности есть символы... Возможно, тот, кто изучал Провидиц, сможет помочь."
A sentinel's rifle loaded with an experimental bullet for use against branded creatures.,"Винтовка стража, заряженная экспериментальной пулей для использования против клеймёных существ."
A Shade's Blindspot,Слепое пятно тени
A shadowstone with bloodstone slivers socketed into it.,Камень тени с вставленными осколками кровавого камня.
A shadowy assassin deals the fatal blow with this finishing move in PvP and WvW.,Таинственный убийца наносит смертельный удар этим финишным приёмом в PvP и WvW.
A shard of pitch black volcanic rock. It is extremely sharp. Sangdo Swiftwing is interested in these.,Осколок чёрной вулканической породы. Он чрезвычайно острый. Сангдо Быстрокрылый интересуется такими.
A shard of pure power used to create legendary weapons.,"Осколок чистой силы, используемый для создания легендарного оружия."
"A shark statue used to create Kamohoali'i Kotaki.

Purchase the recipe for this item from any Mystic Forge vendor and reach a jeweler rating of 400 to craft.","Статуя акулы, используемая для создания Камохоали'и Котаки.

Купите рецепт этого предмета у любого торговца Таинственной кузни и достигните 400 уровня ювелирного дела, чтобы создать его."
A shield roughly forged from Brand crystal using techniques learned from Forge Master Hilina.,
A shield skillfully forged from Brand crystal using techniques learned from Forge Master Hilina.,
A short bow roughly forged from Brand crystal using techniques learned from Forge Master Hilina.,"Длинный лук, грубо выкованный из кристалла Клейма по приёмам, перенятым у мастера горна Хилины."
A short bow skillfully forged from Brand crystal using techniques learned from Forge Master Hilina.,"Длинный лук, искусно выкованный из кристалла Клейма по приёмам, перенятым у мастера горна Хилины."
A simple back-slot item used to attach decorative packs.,"Простой предмет для спины, используемый для крепления декоративных рюкзаков."
A simple collar of ettin design.,Простой ошейник эттинской работы.
A Simple Wish,Простое желание
A six-petaled flower from Awakened Father Iweh in Elon Riverlands.,Цветок с шестью лепестками от Пробужденного отца Ивеха в реке Элон.
"A sketch by Krrsol, Shiniest Shiny. The sketch appears to be of her skritt-friend, Gharr Leadclaw.

You feel a calming sensation from this parchment, as if reliving the fond yet brief memories of your time in Tyria. 

<c=@flavor>""To those who've come and gone, to those you still have as company, and to those you have yet to meet, may you find joy and shinies wherever you go.""</c>","Набросок Кррсола, Блестящего Блестяшки. Набросок, кажется, изображает его друга-скритта, Гарра Свинцового Когтя.

Вы чувствуете успокаивающее ощущение от этого пергамента, словно переживаете дорогие, но мимолетные воспоминания о вашем времени в Тирии.

<c=@flavor>«Тем, кто пришел и ушел, тем, кто еще с вами, и тем, кого вы еще встретите, пусть вы найдете радость и блестяшки, куда бы вы ни отправились.»</c>"
A skritt thief rifles through your opponent's pockets with this finishing move in PvP and WvW.,Вор-скритт обшаривает карманы вашего противника с помощью этого финишного приема в PvP и WvW.
A skyscale egg. Perhaps you can hatch it?,"Яйцо небесной чешуйницы. Возможно, вы сможете высидеть его?"
A Skyscale's Choice,
