english,translate
Researcher's Shoes,Researcher's Shoes
Rift Warden Helm,Rift Warden Helm
Right Oni Arm,Right Oni Arm
Rimed Verdant Axe,Rimed Verdant Axe
Rimed Verdant Blade,Rimed Verdant Blade
Rimed Verdant Dagger,Rimed Verdant Dagger
Rimed Verdant Focus,Rimed Verdant Focus
Rimed Verdant Greatsword,Rimed Verdant Greatsword
Rimed Verdant Hammer,Rimed Verdant Hammer
Rimed Verdant Longbow,Rimed Verdant Longbow
Rimed Verdant Mace,Rimed Verdant Mace
Rimed Verdant Pistol,Rimed Verdant Pistol
Rimed Verdant Rifle,Rimed Verdant Rifle
Rimed Verdant Scepter,Rimed Verdant Scepter
Rimed Verdant Shield,Rimed Verdant Shield
Rimed Verdant Short Bow,Rimed Verdant Short Bow
Rimed Verdant Staff,Rimed Verdant Staff
Rimed Verdant Torch,Rimed Verdant Torch
Rimed Verdant Warhorn,Rimed Verdant Warhorn
Ritualist Staff,Ritualist Staff
Rot Stalker Boots,Rot Stalker Boots
Rot Stalker Coat,Rot Stalker Coat
Rot Stalker Gloves,Rot Stalker Gloves
Rot Stalker Helm,Rot Stalker Helm
Rot Stalker Leggings,Rot Stalker Leggings
Rot Stalker Shoulders,Rot Stalker Shoulders
Round Boatsman Hat,Round Boatsman Hat
Rox's Short Bow,Rox's Short Bow
Royal Layered Cape,Royal Layered Cape
Royal Pointed Ears,Royal Pointed Ears
Sabetha's Rifle,Sabetha's Rifle
Sabetha's Scorcher,Sabetha's Scorcher
Sabir's Call,Sabir's Call
Sabir's Scepter,Sabir's Scepter
Salmon Run Fishing Rod,Salmon Run Fishing Rod
Salvaged Forged Gloves,Salvaged Forged Gloves
Salvaged Forged Helm,Salvaged Forged Helm
Sanctified Axe,Sanctified Axe
Sanctified Boots,Sanctified Boots
Sanctified Cape,Sanctified Cape
Sanctified Coat,Sanctified Coat
Sanctified Dagger,Sanctified Dagger
Sanctified Focus,Sanctified Focus
Sanctified Gloves,Sanctified Gloves
Sanctified Greatsword,Sanctified Greatsword
Sanctified Hammer,Sanctified Hammer
Sanctified Helm,Sanctified Helm
Sanctified Leggings,Sanctified Leggings
Sanctified Longbow,Sanctified Longbow
Sanctified Mace,Sanctified Mace
Sanctified Pistol,Sanctified Pistol
Sanctified Rifle,Sanctified Rifle
Sanctified Scepter,Sanctified Scepter
Sanctified Shield,Sanctified Shield
Sanctified Short Bow,Sanctified Short Bow
Sanctified Shoulders,Sanctified Shoulders
Sanctified Staff,Sanctified Staff
Sanctified Sword,Sanctified Sword
Sanctified Torch,Sanctified Torch
Sanctified Warhorn,Sanctified Warhorn
Saryx Axe,Saryx Axe
Saryx Dagger,Saryx Dagger
Saryx Focus,Saryx Focus
Saryx Greatsword,Saryx Greatsword
Saryx Hammer,Saryx Hammer
Saryx Longbow,Saryx Longbow
Saryx Mace,Saryx Mace
Saryx Pistol,Saryx Pistol
Saryx Rifle,Saryx Rifle
Saryx Scepter,Saryx Scepter
Saryx Shield,Saryx Shield
Saryx Short Bow,Saryx Short Bow
Saryx Staff,Saryx Staff
Saryx Sword,Saryx Sword
Saryx Torch,Saryx Torch
Saryx Warhorn,Saryx Warhorn
Savage Guild Back Banner,Savage Guild Back Banner
Savage Scale Chest,Savage Scale Chest
Savage Scale Loincloth,Savage Scale Loincloth
Savant Boots,Savant Boots
Savant Coat,Savant Coat
Savant Epaulets,Savant Epaulets
Savant Gloves,Savant Gloves
Savant Helm,Savant Helm
Savant Leggings,Savant Leggings
Scarlet's Grasp,Scarlet's Grasp
