english,translate
Recipe[s]: Chiaroscuro Hammers,[Рецепт|Рецепта|Рецептов]: Молоты Кьяроскуро
Recipe[s]: Chiaroscuro Longbows,[Рецепт|Рецепта|Рецептов]: Длинные луки Кьяроскуро
Recipe[s]: Chiaroscuro Maces,[Рецепт|Рецепта|Рецептов]: Булавы Кьяроскуро
Recipe[s]: Chiaroscuro Pistols,[Рецепт|Рецепта|Рецептов]: Пистолеты Кьяроскуро
Recipe[s]: Chiaroscuro Rifles,Рецепт[ы|а|ов]: Винтовки киароскуро
Recipe[s]: Chiaroscuro Scepters,[Рецепт|Рецепта|Рецептов]: Скипетры Кьяроскуро
Recipe[s]: Chiaroscuro Shields,[Рецепт|Рецепта|Рецептов]: щиты Кьяроскуро
Recipe[s]: Chiaroscuro Short Bows,[Рецепт|Рецепта|Рецептов]: Короткие луки «Кьяроскуро»
Recipe[s]: Chiaroscuro Staffs,[Рецепт|Рецепта|Рецептов]: Чиароскуро посохи
Recipe[s]: Chiaroscuro Swords,[Рецепт|Рецепта|Рецептов]: Чиароскуро мечи
Recipe[s]: Chiaroscuro Torches,[Рецепт|Рецепта|Рецептов]: Факелы Кьяроскуро
Recipe[s]: Chiaroscuro Warhorns,[Рецепт|Рецепта|Рецептов]: Чиароскуро рога
Recipe[s]: Chieftan's Mace,[Рецепт|Рецепта|Рецептов]: Булава Вождя
Recipe[s]: Chloroblaster (Level 71),Рецепт[|а|ов]: хлоробластер (71-го уровня)
Recipe[s]: Chorben's Artifact,[Рецепт|Рецепта|Рецептов]: Артефакт Корбена
Recipe[s]: Chorben's Bastion,[Рецепт|Рецепта|Рецептов]: Посох Корбена
Recipe[s]: Chorben's Blade,[Рецепт|Рецепта|Рецептов]: Клинок Корбена
Recipe[s]: Chorben's Brazier,[Рецепт|Рецепта|Рецептов]: Жаровня Хорбена
Recipe[s]: Chorben's Claymore,[Рецепт|Рецепта|Рецептов]: Клеймор Корбена
Recipe[s]: Chorben's Flanged Mace,[Рецепт|Рецепта|Рецептов]: фланцевый молот Хорбена
Recipe[s]: Chorben's Greatbow,[Рецепт|Рецепта|Рецептов]: большой лук Хорбена
Recipe[s]: Chorben's Harpoon Gun,[Рецепт|Рецепта|Рецептов]: гарпунное ружьё Хорбена
Recipe[s]: Chorben's Herald,[Рецепт|Рецепта|Рецептов]: глашатай Хорбена
Recipe[s]: Chorben's Impaler,[Рецепт|Рецепта|Рецептов]: пронзатель Хорбена
Recipe[s]: Chorben's Musket,[Рецепт|Рецепта|Рецептов]: мушкет Хорбена
Recipe[s]: Chorben's Razor,[Рецепт|Рецепта|Рецептов]: бритва Хорбена
Recipe[s]: Chorben's Reaver,[Рецепт|Рецепта|Рецептов]: разоритель Хорбена
Recipe[s]: Chorben's Revolver,[Рецепт|Рецепта|Рецептов]: револьвер Хорбена
Recipe[s]: Chorben's Short Bow,[Рецепт|Рецепта|Рецептов]: короткий лук Хорбена
Recipe[s]: Chorben's Soldier Inscription,[Рецепт|Рецепта|Рецептов]: солдатская надпись Хорбена
Recipe[s]: Chorben's Spire,[Рецепт|Рецепта|Рецептов]: шпиль Хорбена
Recipe[s]: Chorben's Trident,[Рецепт|Рецепта|Рецептов]: трезубец Хорбена
Recipe[s]: Chorben's Wand,[Рецепт|Рецепта|Рецептов]: жезл Хорбена
Recipe[s]: Chorben's Warhammer,[Рецепт|Рецепта|Рецептов]: боевой молот Хорбена
Recipe[s]: Clarion Clasps (Level 55),[Рецепт|Рецепта|Рецептов]: Застежки «Кларион» (Ур. 55)
Recipe[s]: Clark's Chukkas (Level 71),[Рецепт|Рецепта|Рецептов]: Чукки Кларка (Ур. 71)
Recipe[s]: Claw of Execution,[Рецепт|Рецепта|Рецептов]: Коготь Казни
Recipe[s]: Claw of Resolution,[Рецепт|Рецепта|Рецептов]: Коготь Решимости
