english,translate
Recipe[s]: Stormcaller Greatsword,[Рецепт|Рецепта|Рецептов]: двуручный меч «Зов бури»
Recipe[s]: Stormcaller Hammer,[Рецепт|Рецепта|Рецептов]: Молот «Зов бури»
Recipe[s]: Stormcaller Longbow,[Рецепт|Рецепта|Рецептов]: длинный лук «Зов бури»
Recipe[s]: Stormcaller Mace,[Рецепт|Рецепта|Рецептов]: булава «Зов бури»
Recipe[s]: Stormcaller Pistol,[Рецепт|Рецепта|Рецептов]: пистолет «Зов бури»
Recipe[s]: Stormcaller Rifle,[Рецепт|Рецепта|Рецептов]: винтовка «Зов бури»
Recipe[s]: Stormcaller Scepter,[Рецепт|Рецепта|Рецептов]: Скипетр «Зов бури»
Recipe[s]: Stormcaller Shield,[Рецепт|Рецепта|Рецептов]: Щит «Зов бури»
Recipe[s]: Stormcaller Short Bow,[Рецепт|Рецепта|Рецептов]: Короткий лук «Зов бури»
Recipe[s]: Stormcaller Staff,[Рецепт|Рецепта|Рецептов]: Посох «Зов бури»
Recipe[s]: Stormcaller Sword,[Рецепт|Рецепта|Рецептов]: Меч «Зов бури»
Recipe[s]: Stormcaller Torch,[Рецепт|Рецепта|Рецептов]: Факел «Зов бури»
Recipe[s]: Stormcaller Warhorn,[Рецепт|Рецепта|Рецептов]: Рог «Зов бури»
Recipe[s]: Stormforged Axe,[Рецепт|Рецепта|Рецептов]: топор «Закалённый бурей»
Recipe[s]: Stormforged Dagger,[Рецепт|Рецепта|Рецептов]: кинжал Бурекованного
Recipe[s]: Stormforged Focus,[Рецепт|Рецепта|Рецептов]: Фокус Бурекованного
Recipe[s]: Stormforged Greatsword,[Рецепт|Рецепта|Рецептов]: двуручный меч Бурекованного
Recipe[s]: Stormforged Hammer,[Рецепт|Рецепта|Рецептов]: Молот Бурекованного
Recipe[s]: Stormforged Longbow,[Рецепт|Рецепта|Рецептов]: длинный лук Бурекованного
Recipe[s]: Stormforged Mace,[Рецепт|Рецепта|Рецептов]: булава Бурекованного
Recipe[s]: Stormforged Pistol,[Рецепт|Рецепта|Рецептов]: пистолет Бурекованного
Recipe[s]: Stormforged Rifle,[Рецепт|Рецепта|Рецептов]: винтовка Бурекованного
