english,translate
Recipe[s]: Lightborne Shield,[Рецепт|Рецепта|Рецептов]: светорождённый щит
Recipe[s]: Lightborne Short Bow,[Рецепт|Рецепта|Рецептов]: светорождённый короткий лук
Recipe[s]: Lightborne Spear,[Рецепт|Рецепта|Рецептов]: светорождённое копьё
Recipe[s]: Lightborne Staff,[Рецепт|Рецепта|Рецептов]: светорождённый посох
Recipe[s]: Lightborne Sword,[Рецепт|Рецепта|Рецептов]: светорождённый меч
Recipe[s]: Lightborne Torch,[Рецепт|Рецепта|Рецептов]: светорождённый факел
Recipe[s]: Lightborne Warhorn,[Рецепт|Рецепта|Рецептов]: светорождённый рог
Recipe[s]: Lightning Aspect Crystal,[Рецепт|Рецепта|Рецептов]: кристалл молнии аспекта
Recipe[s]: Liquid Flame,[Рецепт|Рецепта|Рецептов]: Живой огонь
Recipe[s]: Liturgy,[Рецепт|Рецепты|Рецептов]: литургия
Recipe[s]: Longbow,[Рецепт|Рецепты|Рецептов]: длинный лук
Recipe[s]: Longevity Noodles,[Рецепт|Рецепты|Рецептов]: лапша долголетия
Recipe[s]: Loyalty,[Рецепт|Рецепты|Рецептов]: верность
Recipe[s]: Lunatic Acolyte Boots,[Рецепт|Рецепты|Рецептов]: сапоги безумного аколита
Recipe[s]: Lunatic Acolyte Coat,[Рецепт|Рецепты|Рецептов]: мундир безумного аколита
Recipe[s]: Lunatic Acolyte Gloves,[Рецепт|Рецепты|Рецептов]: перчатки безумного аколита
Recipe[s]: Lunatic Acolyte Mantle,[Рецепт|Рецепты|Рецептов]: наплечье безумного аколита
Recipe[s]: Lunatic Acolyte Mask,[Рецепт|Рецепты|Рецептов]: маска безумного аколита
Recipe[s]: Lunatic Acolyte Pants,[Рецепт|Рецепты|Рецептов]: Штаны безумного аколита
Recipe[s]: Lunatic Gossamer Insignia,[Рецепт|Рецепты|Рецептов]: Безумная инсигния из паутины
Recipe[s]: Lunatic Noble Boots,[Рецепт|Рецепты|Рецептов]: сапоги безумного дворянина
