english,translate
Ring-Tailed Vulpine Jackal Skin[s],Облик[|а|ов] кольцехвостого шакала
Ringmaster's Hat Skin[s],Облик[|а|ов] шляпы распорядителя
Ringmaster's Hat[s],Шляп[а|ы|] распорядителя
Rings are now easier to obtain. You can equip two rings at a time in your ring slots. Each ring can be different.,Кольца теперь легче получить. Вы можете экипировать два кольца одновременно в слоты для колец. Каждое кольцо может быть разным.
Rinse Vialgos's malignant toxin from your body by moving to a nearby fountain.,"Смойте злокачественный токсин Виалгоса со своего тела, переместившись к ближайшему фонтану."
Riposte (Disabled),Рипост (Отключён)
Riposte is disabled until you get your sword back.,"Рипост отключён, пока вы не вернёте свой меч."
Ripped from the gullet of a mighty leviathan off the coast of Seitung Province or New Kaineng City.,Вырвано из глотки могучего левиафана у побережья провинции Сейтун или Нового Каиненга.
Ripped Hide[s],[Рваная шкура|Рваной шкуры|Рваных шкур]
Ripped Letter to Yeongi,Разорванное письмо для Ёнги
Ripping Claw,Раздирающий коготь
Ripple Shot,Рикошетный выстрел
"Ripsaw Catfish[pl:""Catfish""]",Рыба-пила [|рыбы-пилы|рыб-пил]
Rise again with the Molten Phoenix Griffon Skin!,Восстаньте с обликом Расплавленного Феникса Грифона!
Risen Acolyte,Восставший аколит
Risen Arm,Восставшая рука
"Risen Berserker Loot Box[pl:""Boxes""]",Лутбокс мёртвых берсерков[|а|ов]
Risen Brute,Восставший громила
Risen Bull Shark,Восставшая Бычья Акула
"Risen Bull Shark Tooth[pl:""Teeth""]",Зуб восставшего бычьей акулы
Risen Captain Coloyaqui,Восставший капитан Колояки
Risen Captain Itnaya,Восставший капитан Итная
Risen Captain Redeye,Восставший капитан Красный Глаз
Risen Chicken[s],Восставш[ая|ых|ых] курица[|ы|]
Risen Claw,Коготь Восставшего
Risen Corrupter,Восставший развратитель
"Risen creatures display a wide variety of behaviors that most experts would classify as ""hostile,"" both to natural Elonian wildlife and to seasoned explorers alike. This volume contains a distillation of firsthand discoveries and experiments devoted to unraveling the mysteries of this corruption and the methods used to neutralize it.Using observational logs from Kamma's countless hours within the United Arcanist Lab, readers will get an inside look at the most minute details of her fascinating study on Risen behavior and anatomy.This fourth edition printing contains a special foreword by an anonymous testing associate Kamma recruited during her experiments on Risen tissue.","Восставшие существа демонстрируют широкий спектр поведения, которое большинство экспертов классифицировали бы как ""враждебное"", как по отношению к естественной дикой природе Элоны, так и к опытным исследователям. Этот том содержит выжимку из личных открытий и экспериментов, посвящённых разгадке тайн этого разложения и методов его нейтрализации.Используя журналы наблюдений Каммы, проведшей бесчисленные часы в Объединённой лаборатории арканистов, читатели получат возможность заглянуть в мельчайшие подробности её увлекательного исследования поведения и анатомии восставших.Это четвёртое издание содержит специальное предисловие от анонимного помощника по испытаниям, которого Камма привлекла во время своих экспериментов с тканью восставших."
"Risen Devastator Loot Box[pl:""Boxes""]",Ларец[|а|ов] добычи Восставшего Разрушителя
Risen Drake Broodmother Scale[s],[Чешуйка|Чешуйки|Чешуек] восставшей матки дрейка
Risen Drake[s],[Восставший дракон|Восставшего дракона|Восставших драконов]
Risen Dwayna Statues,Статуи Восставшей Двайны
Risen Dye[s],Краск[а|и|ок] воскресших
Risen Eagle[s],Восставш[ий|их|их] орёл[|а|ов]
Risen Elementalist,Восставший Элементалист
"Risen Elementalist Loot Box[pl:""Boxes""]",Ларец с добычей от воскрешённого элементалиста
Risen Eruption,Извержение Восставших
Risen Giant[s],[Поднятый великан|Поднятых великана|Поднятых великанов]
Risen Grub,Личинка Восставших
Risen Grub Hole,Нора личинки Восставших
Risen Hand,Рука Восставших
Risen High Wizard Soul Energy,Энергия души Восставшего Верховного Мага
Risen Hylek,Восставший Хайлек
"Risen Illusionist Loot Box[pl:""Boxes""]",Лутбокс призрака мертвецов[|а|ов]
Risen Jester,Шут Восставшего
Risen King Soul Energy,Энергия души Восставшего Короля
Risen Krait Dagger,Кинжал Восставшего Крайта
Risen Krait Harpoon,Гарпун Восставшего Крайта
Risen Krait Sword,Меч Восставшего Крайта
Risen Krait Talisman[s],Талисман[|а|ов] воскресших крайтов
"Risen Mage Loot Box[pl:""Boxes""]",Ящик с добычей восставшего мага
Risen Megalodon,Восставший мегалодон
Risen Mine,Восставшая мина
Risen Pirate,Восставший пират
Risen Plague Carrier,Восставший носитель чумы
Risen Plaguebearer,Восставший Чумоносец
Risen Preserver,Восставший Хранитель
Risen Prismatic Crystal,Восставший призматический кристалл
Risen Putrifier,Гнилостник Восставшего
Risen Raptor[s],Воскресш[ий|ие|их] раптор[|а|ов]
Risen Rotmouth,Восставший гнилорот
"Risen Sea Bass[pl:""Bass""]",Воскресший морской окунь[|и|и]
Risen Sea Turtle,Морская черепаха Восставшего
"Risen Sentinel Loot Box[pl:""Boxes""]",Сундук с добычей стража мёртвых[|а|ов]
Risen Spider[s],Воскресш[ий|ие|их] паук[|а|ов]
Risen Subjugator,Поработитель Восставшего
Risen Thrall,Восставший раб
Risen Turtle Shell,Панцирь восставшей черепахи
Risewild Green,Зелёный рисайльд
Rising Mote[s],Восходящ[ая|ие|их] частиц[а|ы|]
Rites of Passage,Обряды посвящения
Ritual Bowl,Ритуальная чаша
Ritual Husks Have Spawned,Появились ритуальные оболочки
Ritual Mastery,Ритуальное мастерство
Ritual of Protection,Ритуал защиты
Ritual Tool,Ритуальный инструмент
Ritualist Attack,Атака ритуалиста
Ritualist Outfit[s],Наряд[|а|ов] ритуалиста
Ritualist Package,Набор ритуалиста
Ritualist Package now available!,Набор ритуалиста теперь доступен!
Ritualist Staff Skin[s],Облик[|а|ов] посоха ритуалиста
